Name: “Table 1 of 1 on page 79 of 102”,Name: “Table 1 of 1 on page 79 of 102”,Name: “Table 1 of 1 on page 79 of 102”,Name: “Table 1 of 1 on page 79 of 102”
Table: 79,Table: 79,Table: 79,Table: 79
,,,
"Table 22. Ethanol Related Accidental Deaths by Method of Death, 2004","Table 22. Ethanol Related Accidental Deaths by Method of Death, 2004","Table 22. Ethanol Related Accidental Deaths by Method of Death, 2004","Table 22. Ethanol Related Accidental Deaths by Method of Death, 2004"
,,Ethanol >0.01% W/V,Ethanol >0.01% W/V
Method of Death,Total,Yes,No
Aircraft,,,
Passenger/Pilot in aircraft crash,13,2,11
Animal Related,,,
Animal related,4,0,4
Asphyxia,,,
Accidental ligature strangulation,2,1,1
Choked on foreign object,20,2,18
Crushed/suffocated,16,1,15
Drowned,103,34,69
Mechanical/Positional,26,3,23
Drug Use,,,
Ingested alcohol (ethanol),29,28,1
Ingested and/or injected drugs,457,130,327
Electrical,,,
Contacted electrical current,12,1,11
Struck by lightning,1,1,0
Exposure,,,
Exposed to cold,18,7,11
Exposed to heat,4,0,4
Fall,,,
Fall from height,391,19,372
Fire,,,
"Scalded by hot water, hot oil, other agent",1,0,1
Smoke inhalation - carbon monoxide,86,29,57
Victim of fire,43,12,31
Machinery,,,
Farm or industrial machinery accident,13,0,13
Poisoned,,,
Inhaled toxic agent accidentally - carbon monoxide,5,3,2
Traumatic Injury,,,
Accidental discharge of firearm,14,4,10
Accidental cutting with cutting instrument,3,0,3
Explosion,3,0,3
Received blow/collided with object,2,0,2
Sports/Athletic,3,0,3
Struck by moving object,11,2,9
Traumatic - other,17,0,17
Vehicular,,,
ATV,12,3,9
Auto - driver,559,148,411
Auto - passenger,199,62,137
Auto - pedestrian,99,32,67
Bicycle,4,1,3
Mo-ped,2,1,1
Motorcycle,47,16,31
Tractor/Heavy construction equipment,17,2,15
Train,4,1,3
Other,70,20,50
Total,2311,565,1746
"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",,
Page 73,,,
