Name: “Table 1 of 1 on page 37 of 102”,Name: “Table 1 of 1 on page 37 of 102”,Name: “Table 1 of 1 on page 37 of 102”,Name: “Table 1 of 1 on page 37 of 102”,Name: “Table 1 of 1 on page 37 of 102”,Name: “Table 1 of 1 on page 37 of 102”,Name: “Table 1 of 1 on page 37 of 102”,Name: “Table 1 of 1 on page 37 of 102”
Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37
,,,,,,,
"Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004"
,,,Year of Death,Year of Death,Year of Death,,
Locality of Death,1999,2000,2001,2002,2003,2004,Total
Accomack,13,17,17,14,16,17,94
Albemarle,15,6,7,22,26,37,113
Alexandria,19,16,17,20,14,18,104
Alleghany,4,3,3,4,3,5,22
Amelia,4,5,3,5,2,4,23
Amherst,9,4,5,3,5,3,29
Appomattox,2,1,3,6,2,2,16
Arlington,28,35,34,44,31,21,193
Augusta,16,18,24,24,26,28,136
Bath,3,1,2,3,6,2,17
Bedford City,1,1,5,2,2,0,11
Bedford,15,9,16,16,14,18,88
Bland,2,1,8,4,2,2,19
Botetourt,9,7,9,8,6,10,49
Bristol,1,1,0,2,6,4,14
Brunswick,8,8,7,9,5,12,49
Buchanan,11,10,16,19,20,21,97
Buckingham,8,7,8,5,8,6,42
Buena Vista,0,0,0,1,0,1,2
Campbell,11,12,7,12,15,10,67
Caroline,9,12,8,16,6,12,63
Carroll,7,9,5,5,8,9,43
Charles City,2,2,2,6,4,2,18
Charlotte,10,4,5,3,4,4,30
Charlottesville,74,60,70,71,83,58,416
Chesapeake,26,24,30,44,38,37,199
Chesterfield,43,43,28,46,50,48,258
Clarke,1,2,3,2,6,3,17
Colonial Heights,0,3,1,0,1,1,6
Covington,3,0,0,0,2,0,5
Craig,0,0,0,3,1,0,4
Culpepper,5,8,12,8,12,15,60
Cumberland,6,4,1,0,2,1,14
Danville,17,23,22,16,21,25,124
Dickenson,4,2,7,9,7,10,39
Dinwiddie,7,10,5,6,8,12,48
Emporia,8,4,4,7,8,12,43
Essex,6,5,10,6,8,11,46
Fairfax City,3,0,2,2,3,1,11
Fairfax,171,201,196,235,232,217,1252
Falls Church,0,1,1,0,0,0,2
Fauquier,24,11,17,11,21,22,106
Floyd,5,8,7,6,11,4,41
Fluvanna,2,4,2,2,11,3,24
Franklin City,0,0,1,0,1,0,2
Franklin,17,9,19,14,16,18,93
Frederick,0,2,2,6,15,17,42
Fredericksburg,20,27,18,26,39,29,159
Galax,5,5,8,6,3,2,29
Giles,6,5,6,4,12,6,39
Gloucester,8,7,12,4,11,7,49
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",,
,,Page 31,,,,,
