Name: “Table 1 of 1 on page 31 of 102”,Name: “Table 1 of 1 on page 31 of 102”,Name: “Table 1 of 1 on page 31 of 102”
Table: 31,Table: 31,Table: 31
,,
,"Table 9. Total Cases by Cause of Death, 2004",
Natural Deaths,Total Cases,Autopsied
AIDS,6,3
Alzheimers Disease,7,1
Aneurysm,14,10
Aspiration,5,1
Asthma,13,7
Blood Disorders,2,1
Carcinoma,83,31
Cerebrovascular,66,29
COPD,16,4
Congenital Defect,4,3
Dehydration,3,2
Diabetes,36,13
Emboli,56,32
Emphysema,6,1
Epilepsy,19,10
Ethanolism,53,11
Gastrointestinal Hemorrhage,41,8
Heart Disease,1422,409
Hepatic Failure,6,2
History of Illness or Injury,1,0
Hypertension,5,0
Intrauterine Fetal Death,4,3
Leukemia,1,0
Medical Treatment,1,0
Meningitis,5,5
Obesity,1,0
Obstruction (blockage),3,2
Pancreas,3,2
Parkinson's Disease,1,0
Pathologic Injuries,14,10
Pneumonia,99,48
Prematurity,5,3
Pulmonary Edema,3,0
Renal Failure,15,1
Respiratory Distress Syndrome,5,0
Sepsis,33,7
Spontaneous Hemorrhage,2,2
Sudden Infant Death Syndrome,84,83
Natural - Other,79,44
Subtotal,2222,788
Unnatural Deaths,,
Asphyxia,104,65
Carbon Monoxide Poisoning,121,88
Child Abuse,7,7
Drowning,118,63
Electrocution,11,8
Ethanol Poisoning,30,21
Exposure (Cold),18,11
Exposure (Heat),4,1
Exsanguination,18,14
Gunshot Wound,824,813
Hanging,154,64
Head and Neck Injuries,649,120
Judicial Execution,5,2
Multiple Injuries,685,150
Narcotic Abuse,216,182
Stab Wound,45,44
Subdural Hematoma,97,4
Substance Poisoning,359,316
Thermal Injuries (burns),46,28
Unnatural - Other,30,12
Subtotal,3541,2013
Undetermined Deaths,,
Skeletal/Mummified Remains,2,2
Undetermined after Autopsy and/or Investigation,34,34
Subtotal,36,36
Total,5799,2837
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",
,Page 25,
