Name: “Table 1 of 1 on page 46 of 102”,Name: “Table 1 of 1 on page 46 of 102”,Name: “Table 1 of 1 on page 46 of 102”,Name: “Table 1 of 1 on page 46 of 102”,Name: “Table 1 of 1 on page 46 of 102”,Name: “Table 1 of 1 on page 46 of 102”,Name: “Table 1 of 1 on page 46 of 102”,Name: “Table 1 of 1 on page 46 of 102”
Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46
,,,,,,,
"Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004"
,~continued,~continued,,,,,
,,,Year of Death,Year of Death,Year of Death,,
Locality of Death,1999~co2n0ti0n0ued2001,1999~co2n0ti0n0ued2001,1999~co2n0ti0n0ued2001,2002,2003,2004,Total
Manassas,7,4,3,3,3,1,21
Martinsville,4,5,9,6,9,6,39
Mathews,1,3,0,2,0,0,6
Mecklenburg,4,3,6,4,6,9,32
Middlesex,1,0,2,2,1,2,8
Montgomery,13,3,10,8,4,10,48
Nelson,7,3,2,2,5,2,21
New Kent,3,4,2,4,1,4,18
Newport News,15,24,23,16,16,18,112
Norfolk,28,28,43,32,31,32,194
Northampton,1,4,0,4,1,4,14
Northumberland,1,0,1,2,1,1,6
Norton,2,5,5,0,2,3,17
Nottoway,2,1,0,4,1,4,12
Orange,4,3,1,3,3,0,14
Page,1,2,3,3,5,0,14
Patrick,5,3,1,6,4,6,25
Petersburg,4,4,4,3,3,5,23
Pittsylvania,9,9,9,15,8,5,55
Poquoson,2,0,1,1,1,0,5
Portsmouth,13,6,14,10,10,10,63
Powhatan,1,2,5,6,1,4,19
Prince Edward,4,2,1,1,1,2,11
Prince George,4,3,0,6,3,6,22
Prince William,26,25,21,15,20,17,124
Pulaski,4,4,7,11,7,7,40
Radford,3,3,1,2,0,2,11
Rappahannock,0,1,0,2,1,1,5
Richmond City,42,21,45,44,27,27,206
Richmond,1,1,4,0,3,1,10
Roanoke City,22,28,18,21,19,17,125
Roanoke,6,12,10,15,10,9,62
Rockbridge,4,3,2,2,2,5,18
Rockingham,2,5,12,5,4,6,34
Russell,6,9,9,6,2,9,41
Salem,3,4,1,2,8,6,24
Scott,7,9,4,3,3,3,29
Shenandoah,5,8,5,5,8,6,37
Smyth,6,4,3,3,2,5,23
Southampton,3,4,3,3,2,2,17
Spotsylvania,5,5,9,11,9,8,47
Stafford,12,5,5,8,7,9,46
Staunton,2,3,3,4,3,3,18
Suffolk,0,9,7,4,8,8,36
Surry,1,1,1,1,1,0,5
Sussex,3,1,4,2,3,1,14
Tazewell,15,9,7,5,9,6,51
Virginia Beach,44,42,37,35,43,48,249
Warren,5,6,6,4,1,14,36
Washington,8,16,12,6,7,8,57
Waynesboro,3,3,2,4,1,4,17
Westmoreland,1,4,2,2,2,1,12
Williamsburg,3,2,2,2,5,4,18
Winchester,12,8,5,10,9,6,50
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",,
,,Page 40,,,,,
