Name: “Table 1 of 1 on page 95 of 102”,Name: “Table 1 of 1 on page 95 of 102”,Name: “Table 1 of 1 on page 95 of 102”
Table: 95,Table: 95,Table: 95
,,
"Table 30. Drug/Physiologically Active Compounds Present in Decedents, 2004","Table 30. Drug/Physiologically Active Compounds Present in Decedents, 2004","Table 30. Drug/Physiologically Active Compounds Present in Decedents, 2004"
,~continued,
Drug/Compound,,Total
,TEMAZEPAM,5
,Minor Tranquilizer Total,260
Narcotic,,
,CODEINE,64
,FENTANYL,37
,HYDROCODONE,82
,HYDROMORPHONE,12
,MEPERIDINE,2
,METHADONE,118
,MONOACETYLMORPHINE,4
,MORPHINE,118
,NORMEPERIDINE,2
,NORPROPOXYPHENE,24
,OXYCODONE,75
,OXYMORPHONE,25
,PROPOXYPHENE,33
,Narcotic Total,596
,Other,
,CHLORODIFLUOROMETHANE,1
,CHLORPHENIRAMINE,14
,CLOZAPINE,2
,DOXYLAMINE,6
,ETHYLENE GLYCOL,3
,FENFLURAMINE,1
,LAMOTRIGINE,1
,LIDOCAINE,6
,METAXALONE,1
,METHANOL,2
,PHENMETRAZINE,1
,PROPYLENE GLYCOL,1
,QUININE,5
,TOLUENE,1
,Other Total,45
Sedative,,
,CYCLOBENZAPRINE,17
,MIDAZOLAM,1
,PROMETHAZINE,25
,Sedative Total,43
Stimulant,,
,AMPHETAMINE,2
,BENZOYL ECGONINE,144
,COCAETHYLENE,40
,COCAINE,111
,EPHEDRINE,1
,METHAMPHETAMINE,1
,METHYLENEDIOXYAMPHETAMINE,1
METHYLENEDIOXYMETHAMPHETAMINE,METHYLENEDIOXYMETHAMPHETAMINE,1
,Stimulant Total,301
,Total,1708
"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",
,Page 89,
