Name: “Table 1 of 1 on page 51 of 102”,Name: “Table 1 of 1 on page 51 of 102”,Name: “Table 1 of 1 on page 51 of 102”,Name: “Table 1 of 1 on page 51 of 102”,Name: “Table 1 of 1 on page 51 of 102”,Name: “Table 1 of 1 on page 51 of 102”,Name: “Table 1 of 1 on page 51 of 102”,Name: “Table 1 of 1 on page 51 of 102”,Name: “Table 1 of 1 on page 51 of 102”,Name: “Table 1 of 1 on page 51 of 102”,Name: “Table 1 of 1 on page 51 of 102”,Name: “Table 1 of 1 on page 51 of 102”
Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51
,,,,,,,,,,,
,"Figure 28. Homicide Deaths by Leading Methods of Death, 2004","Figure 28. Homicide Deaths by Leading Methods of Death, 2004","Figure 28. Homicide Deaths by Leading Methods of Death, 2004","Figure 28. Homicide Deaths by Leading Methods of Death, 2004","Figure 28. Homicide Deaths by Leading Methods of Death, 2004","Figure 28. Homicide Deaths by Leading Methods of Death, 2004","Figure 28. Homicide Deaths by Leading Methods of Death, 2004","Figure 28. Homicide Deaths by Leading Methods of Death, 2004","Figure 28. Homicide Deaths by Leading Methods of Death, 2004",,
,9,,,,,,,,,,
,Rifle,,,,,,,,,,
,,15,,,,,,,,,
,Asphyxia,,,,,,,,,,
,,18,,,,,,,,,
,Shotgun,,,,,,,,,,
,,,43,,,,,,,,
,Blunt Force/Beating,,,,,,,,,,
,,,44,,,,,,,,
,Stab/Cut,,,,,,,,,,
,,,,,,88,,,,,
,Unspecified Firearm,,,,,,,,,,
,,,,,,,,,,,190
,Handgun,,,,,,,,,,
,0,20,40,60,80,100,120,140,160,180,200
"Table 15. Homicide Deaths by Locality of Death by Year of Death, 1999- 2003","Table 15. Homicide Deaths by Locality of Death by Year of Death, 1999- 2003","Table 15. Homicide Deaths by Locality of Death by Year of Death, 1999- 2003","Table 15. Homicide Deaths by Locality of Death by Year of Death, 1999- 2003","Table 15. Homicide Deaths by Locality of Death by Year of Death, 1999- 2003","Table 15. Homicide Deaths by Locality of Death by Year of Death, 1999- 2003","Table 15. Homicide Deaths by Locality of Death by Year of Death, 1999- 2003","Table 15. Homicide Deaths by Locality of Death by Year of Death, 1999- 2003","Table 15. Homicide Deaths by Locality of Death by Year of Death, 1999- 2003","Table 15. Homicide Deaths by Locality of Death by Year of Death, 1999- 2003","Table 15. Homicide Deaths by Locality of Death by Year of Death, 1999- 2003",
,,,,,,Year of Death,Year of Death,Year of Death,,,
Locality of Death,Locality of Death,,,1999,2000,2001,2002,2003,2004,Total,
,Accomack,,,2,1,1,0,1,1,6,
,Albemarle,,,5,1,3,2,3,2,16,
Alexandria,,,,2,2,5,0,5,2,16,
,Alleghany,,,0,0,0,2,0,2,4,
,Amelia,,,0,1,0,0,1,0,2,
,Amherst,,,1,3,0,1,1,1,7,
Appomattox,,,,1,0,0,1,0,0,2,
,Arlington,,,3,10,2,5,3,2,25,
,Augusta,,,1,3,1,3,4,7,19,
,Bedford,,,2,1,1,2,0,0,6,
,Bland,,,0,1,0,0,0,0,1,
,Botetourt,,,0,2,0,0,1,0,3,
,Bristol,,,1,1,2,0,0,0,4,
Brunswick,,,,1,1,0,2,2,2,8,
,Buchanan,,,1,2,1,4,2,2,12,
Buckingham,,,,0,0,0,0,2,0,2,
,Campbell,,,2,1,0,0,0,2,5,
,Caroline,,,0,0,1,0,0,1,2,
,Carroll,,,1,2,0,1,1,0,5,
Charles City,,,,0,1,0,0,0,0,1,
,Charlotte,,,2,0,0,2,1,0,5,
Charlottesville,,,,6,7,7,5,4,7,36,
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",,,,
,,,,Page 45,Page 45,,,,,,
