Name: “Table 1 of 1 on page 21 of 102”,Name: “Table 1 of 1 on page 21 of 102”,Name: “Table 1 of 1 on page 21 of 102”,Name: “Table 1 of 1 on page 21 of 102”,Name: “Table 1 of 1 on page 21 of 102”,Name: “Table 1 of 1 on page 21 of 102”,Name: “Table 1 of 1 on page 21 of 102”,Name: “Table 1 of 1 on page 21 of 102”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,,
"Table 6. Total Cases by Manner of Death by Age Group by Gender, 2004","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2004","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2004","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2004","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2004","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2004","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2004","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2004"
,,,,Man n er of Death,Man n er of Death,,
Gender,Age,Accident,Homicide,Natural,Suicide,Undetermined,Total
Male,"
    ",20,2,61,0,18,101
,1-4,21,4,7,0,0,32
,5-9,19,1,5,0,0,25
,1 0-14,15,8,9,4,0,36
,15-19,111,33,6,34,3,187
,20-24,165,80,17,51,0,313
,25-34,245,85,60,92,6,488
,35-44,248,44,191,136,9,628
,45-54,263,33,346,131,6,779
,55-64,144,16,313,87,4,564
,65-7 4,113,6,240,56,2,417
,75-84,126,4,152,53,1,336
,85-94,69,3,35,21,0,128
,95+,2,0,2,0,0,4
,Unknown,1,0,2,1,2,6
,Sub total,1562,319,1446,6 66,51,4044
Female,"
    ",10,2,41,0,10,63
,1-4,9,8,6,0,0,23
,5-9,12,2,1,0,0,15
,10-14,9,0,4,1,0,14
,15-19,43,9,4,7,0,63
,20-24,53,11,12,10,1,87
,25-34,83,24,31,27,2,167
,35-44,107,28,89,49,3,276
,45-54,106,9,129,46,5,295
,55-64,45,7,94,20,2,168
,6 5-74,61,2,106,5,1,175
,75-84,114,6,102,7,4,233
,85-94,85,1,63,2,1,152
,95+,13,1,7,0,0,21
,Unknown,0,0,0,0,1,1
,Subtotal,750,110,689,174,30,1753
Unknown,Unknown,0,0,0,0,2,2
Total,,2312,429,2135,840,83,5799
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",,
,,,Page 15,Page 15,,,
