Name: “Table 1 of 1 on page 36 of 102”,Name: “Table 1 of 1 on page 36 of 102”,Name: “Table 1 of 1 on page 36 of 102”
Table: 36,Table: 36,Table: 36
,,
"Table 10. Accidental Deaths by Method of Death, 2004","Table 10. Accidental Deaths by Method of Death, 2004",
Method of Death,Total Cases,Autopsied
Aircraft,,
Passenger/Pilot in aircraft crash,13,12
Anima l Related,,
"Animal related (bitten, kicked, trampled)",4,0
Asphyxia,,
Accidental ligature strangulation,2,1
Choked on foreign object,20,9
Crushed/suffocated,42,30
Drowned,103,51
Drug Use,,
Ingested alcohol (ethanol),29,20
Ingested and/or injected illicit drug and/or prescription medications,458,404
Electrical,,
Contacted electrical current,12,9
Struck by lightning,1,0
Exposure,,
Exposed to cold,18,11
Exposed to heat,4,1
Fall,,
Fall from all heights,391,52
Fire,,
"Scalded by hot water, hot oil, other agent",1,0
Smoke Inhalation (Carbon Monoxide),85,65
Victim of explosion,3,3
Victim of Fire,43,26
Machinery,,
Farm or industrial machinery accident,13,7
Motor Vehicle,,
Vehicular: ATV,12,2
Vehicular: auto/truck (driver),559,59
Vehicular: auto/truck (passenger),199,31
Vehicular: auto/truck (pedestrian),99,30
Vehicular: auto/truck (unknown),58,10
Vehicular: bicycle,4,0
Vehicular: mo-ped,2,0
Vehicular: motorcycle,47,4
Vehicular: tractor/heavy construction equipment,17,3
Vehicular: train,4,3
Vehicular: other,12,3
Poisoned,,
Inhaled toxic agent (Carbon Monoxide - Other),6,4
Traumatic Injury,,
Accidental discharge of firearm,14,12
Accidental cut injury,3,3
Received blow/collided with object,11,5
Sports related,3,0
Unknown,,
Accident - Unknown,19,11
Total,2312,881
"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",
Page 30,,
