Name: “Table 1 of 1 on page 56 of 102”,Name: “Table 1 of 1 on page 56 of 102”,Name: “Table 1 of 1 on page 56 of 102”,Name: “Table 1 of 1 on page 56 of 102”,Name: “Table 1 of 1 on page 56 of 102”,Name: “Table 1 of 1 on page 56 of 102”,Name: “Table 1 of 1 on page 56 of 102”,Name: “Table 1 of 1 on page 56 of 102”
Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56
,,,,,,,
,"Figure 32. Undetermined Deaths by Method of Death, 2004","Figure 32. Undetermined Deaths by Method of Death, 2004","Figure 32. Undetermined Deaths by Method of Death, 2004","Figure 32. Undetermined Deaths by Method of Death, 2004",,,
Starvation,1,,,,,,
Hanging,1,,,,,,
Fire,1,,,,,,
Carbon Monoxide Poisoning,1,,,,,,
Motor Vehicle,2,,,,,,
Fall,2,,,,,,
Asphyxia,3,,,,,,
Gunshot Wound,6,,,,,,
Drug Use,10,,,,,,
Undetermined Cause,,,,,,56,
0,10,20,30,40,,50,60
"Table 16. Undetermined Deaths by Method of Death, 2004","Table 16. Undetermined Deaths by Method of Death, 2004","Table 16. Undetermined Deaths by Method of Death, 2004","Table 16. Undetermined Deaths by Method of Death, 2004","Table 16. Undetermined Deaths by Method of Death, 2004",,,
,,,Total Cases,Total Cases,Autopsied,,
Undetermined Method of Death,Undetermined Method of Death,Undetermined Method of Death,,,,,
Undetermined after autopsy and/or toxicology,Undetermined after autopsy and/or toxicology,Undetermined after autopsy and/or toxicology,,17,,16,
Undetermined but Method Determined,Undetermined but Method Determined,Undetermined but Method Determined,,,,,
Asphyxia,,,,,,,
Mechanical/Positional,,,,1,,1,
Drowning,,,,3,,3,
Drug Use,,,,,,,
Injested/Injected medication,Injested/Injected medication,,,10,,8,
Exposure,,,,,,,
Starvation,,,,1,,1,
Fall,,,,,,,
Fall from height/same height,Fall from height/same height,,,2,,2,
Fire,,,,,,,
Explosion/Victim of fire,,,,1,,1,
Poisoned,,,,,,,
Inhaled toxic agent,,,,1,,1,
Traumatic Injury,,,,,,,
Gunshot wound,,,,6,,6,
Vehicular,,,,,,,
Driver/Passenger/Pedestrian,Driver/Passenger/Pedestrian,,,2,,2,
Total,,,,83,,79,
"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",,,
,,Page 50,,,,,
