Name: “Table 1 of 1 on page 45 of 102”,Name: “Table 1 of 1 on page 45 of 102”,Name: “Table 1 of 1 on page 45 of 102”,Name: “Table 1 of 1 on page 45 of 102”,Name: “Table 1 of 1 on page 45 of 102”,Name: “Table 1 of 1 on page 45 of 102”,Name: “Table 1 of 1 on page 45 of 102”,Name: “Table 1 of 1 on page 45 of 102”
Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45
,,,,,,,
"Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004"
,~continued,~continued,,,,,
,,,Year of Death,Year of Death,Year of Death,,
Locality of Death,1999~co2n0ti0n0ued2001,1999~co2n0ti0n0ued2001,1999~co2n0ti0n0ued2001,2002,2003,2004,Total
Carroll,6,10,3,3,2,8,32
Charles City,1,1,0,1,1,1,5
Charlotte,3,0,3,1,0,1,8
Charlottesville,10,13,16,7,8,13,67
Chesapeake,18,8,17,12,16,19,90
Chesterfield,28,22,25,26,29,27,157
Clarke,3,1,0,2,2,1,9
Colonial Heights,3,1,1,3,1,1,10
Covington,0,2,0,2,0,1,5
Craig,1,0,0,2,3,0,6
Culpepper,10,2,5,5,8,7,37
Cumberland,2,1,0,1,0,1,5
Danville,11,12,11,7,10,6,57
Dickenson,3,3,4,6,4,3,23
Dinwiddie,8,5,2,6,6,3,30
Emporia,2,0,0,1,1,1,5
Essex,1,1,1,4,3,2,12
Fairfax City,2,1,0,2,0,1,6
Fairfax,62,75,64,87,64,72,424
Falls Church,0,1,0,0,0,1,2
Fauquier,5,3,7,6,8,13,42
Floyd,1,0,1,2,0,3,7
Fluvanna,1,0,3,1,3,1,9
Franklin,5,6,9,9,8,9,46
Frederick,1,2,0,6,7,10,26
Fredericksburg,5,6,5,8,11,5,40
Galax,3,1,2,3,1,1,11
Giles,0,5,2,1,3,3,14
Gloucester,3,2,3,6,6,8,28
Goochland,2,1,2,2,2,1,10
Grayson,1,0,0,0,5,5,11
Greene,2,3,1,0,2,3,11
Greensville,2,6,2,2,2,0,14
Halifax,5,6,4,8,3,5,31
Hampton,12,10,12,10,11,13,68
Hanover,4,10,13,6,7,8,48
Harrisonburg,7,2,3,2,3,1,18
Henrico,32,26,37,19,35,21,170
Henry,6,8,5,5,4,8,36
Highland,1,0,0,1,0,2,4
Hopewell,4,3,5,3,2,1,18
Isle of Wight,2,7,3,4,4,5,25
James City,1,3,3,4,3,6,20
King & Queen,3,1,1,0,1,1,7
King George,4,3,2,2,1,2,14
King William,2,1,2,0,1,3,9
Lancaster,0,2,0,1,1,0,4
Lee,5,4,3,6,5,9,32
Lexington,1,1,0,0,0,0,2
Loudoun,13,6,17,10,17,17,80
Louisa,4,3,6,3,5,6,27
Lunenburg,2,0,0,3,2,3,10
Lynchburg,8,10,5,12,10,6,51
Madison,1,4,2,1,1,1,10
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",,
,,Page 39,,,,,
