Name: “Table 1 of 1 on page 29 of 102”,Name: “Table 1 of 1 on page 29 of 102”,Name: “Table 1 of 1 on page 29 of 102”,Name: “Table 1 of 1 on page 29 of 102”,Name: “Table 1 of 1 on page 29 of 102”,Name: “Table 1 of 1 on page 29 of 102”,Name: “Table 1 of 1 on page 29 of 102”
Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29
,,,,,,
"Table 8. Total Cases by Locality of Residence, 2004 ~con tinued","Table 8. Total Cases by Locality of Residence, 2004 ~con tinued","Table 8. Total Cases by Locality of Residence, 2004 ~con tinued","Table 8. Total Cases by Locality of Residence, 2004 ~con tinued","Table 8. Total Cases by Locality of Residence, 2004 ~con tinued","Table 8. Total Cases by Locality of Residence, 2004 ~con tinued",
,,,Manner of Death,Manner of Death,,
Locality of Residence,Accident,Homicide,Natural,Suicide,Undetermined,Total
ROANOKE COUNTY,22,1,7,9,1,40
ROCKBRIDGE COUNTY,8,0,4,6,0,18
ROCKINGHAM COUNT Y,30,1,12,6,1,50
RUSSELL COUNTY,28,0,5,9,1,43
SALEM,13,0,5,3,0,21
SCOTT COU NTY,8,0,0,3,0,11
SHENAN DOAH COUNTY,11,1,13,7,0,32
SMYTH COU NTY,13,0,9,5,1,28
SOUTH B OS TON CITY,1,1,2,0,0,4
SOUTHAMP TON COUNTY,10,2,8,2,0,22
SPOTSYLVANIA COUNTY,27,3,18,9,0,57
STAFFORD CO UNTY,23,3,18,10,0,54
STAUNTON CITY,9,0,4,4,0,17
SUFFOLK,24,3,19,7,1,54
SURRY COUNTY,2,0,4,0,0,6
SUSSEX COUNTY,3,3,6,2,0,14
TAZEWELL COUNTY,29,1,11,7,1,49
VIRGINIA BEACH,89,19,112,49,1,270
WARREN COUNTY,20,1,10,13,0,44
WASHINGTON COUNT Y,17,2,17,11,2,49
WAYNESBORO,8,1,2,4,1,16
WESTMOR ELAND COUNTY,4,0,2,2,1,9
WILLIAMSB URG CITY,12,0,11,4,1,28
WINCHESTER CITY,7,0,11,1,1,20
WISE COUNTY,31,0,14,5,0,50
WYTHE COUNTY,12,1,4,4,1,22
YORK COUNTY,9,1,9,2,0,21
OUT OF COUNTRY,3,1,2,0,0,6
OUT OF STATE,207,25,203,31,2,468
UNKNOWN,5,4,8,0,6,23
Total,2312,429,2135,840,83,5799
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",,
,,Page 23,,,,
