Name: “Table 1 of 1 on page 27 of 102”,Name: “Table 1 of 1 on page 27 of 102”,Name: “Table 1 of 1 on page 27 of 102”,Name: “Table 1 of 1 on page 27 of 102”,Name: “Table 1 of 1 on page 27 of 102”,Name: “Table 1 of 1 on page 27 of 102”,Name: “Table 1 of 1 on page 27 of 102”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,
"Table 8. Total Cases by Locality of Residence, 2004","Table 8. Total Cases by Locality of Residence, 2004","Table 8. Total Cases by Locality of Residence, 2004","Table 8. Total Cases by Locality of Residence, 2004","Table 8. Total Cases by Locality of Residence, 2004",,
,,,Manner of Death,Manner of Death,,
Locality of Residence,Accident,Homicide,Natural,Suicide,Undetermined,Tota l
ACCOMACK,21,4,15,2,0,42
ALBEMARLE COUNTY,23,1,17,12,2,55
ALEXANDRIA CITY,18,3,20,15,0,56
ALLEGHANY COUNTY,1,2,5,3,0,11
AMELIA COUNTY,3,0,5,3,1,12
AMHERST COUNTY,10,0,28,3,1,42
APPOMATTOX CO UNTY,8,0,6,2,0,16
ARLINGTON,20,2,35,15,0,72
AUGUSTA COUNTY,23,5,12,14,2,56
BATH COUNTY,5,0,4,0,0,9
BEDFORD COUNTY,28,0,15,6,1,50
BLAND COUNTY,4,0,0,2,0,6
BOTETOUR T COUNTY,13,0,5,3,0,21
BRISTOL,5,1,7,3,0,16
BRUNSWICK COUN TY,7,0,8,3,0,18
BUCHANAN COUNTY,20,4,8,7,0,39
BUCKINGHAM COU NTY,11,0,3,1,0,15
BUENA VISTA,2,0,0,2,0,4
CAMPBELL COUNTY,16,1,21,6,1,45
CAROLINE COUN TY,8,1,7,2,0,18
CARROLL COUNTY,8,1,3,8,0,20
CHARLES CITY COUNT Y,0,0,3,1,0,4
CHARLOTTE COUNTY,5,0,5,1,0,11
CHARLOTTESVI LLE CITY,12,4,13,3,0,32
CHESAPEAKE,43,15,76,21,1,156
CHESTERFIELD COUNTY,62,17,56,30,2,167
CLARKE COUNTY,2,1,2,1,1,7
COLONIAL HEIG HTS CITY,5,6,5,1,0,17
COVINGTON,3,0,2,1,0,6
CRAIG COUNTY,0,2,2,0,0,4
CULPEPER COUNTY,16,0,17,7,0,40
CUMBERLAND COUNTY,0,0,4,0,1,5
DANVILLE,19,6,15,6,0,46
DICKENSON COUNTY,10,2,2,3,0,17
DINWIDDIE COUNTY,9,3,9,3,0,24
EMPORIA CITY,2,1,2,1,1,7
ESSEX COUNTY,13,2,6,3,0,24
FAIRFAX CITY,4,0,4,1,0,9
FAIRFAX COUNTY,138,12,111,63,4,328
FALLS CHURCH CITY,2,0,1,1,0,4
FAUQUIER COUNTY,22,0,9,10,2,43
FLOYD COUNTY,7,0,4,4,0,15
FLUVANNA COUNTY,8,0,4,2,0,14
FRANKLIN COUNTY,19,2,14,7,0,42
FREDERICK COUNTY,21,1,18,12,0,52
FREDERICKSBURG CITY,13,0,9,2,0,24
GALAX,0,0,1,0,0,1
GILES COUNTY,5,1,1,3,0,10
GLOUCESTER COUNTY,13,1,9,8,0,31
GOOCHLAND COUNTY,13,1,8,2,1,25
GRAYSON COUNTY,8,1,3,5,0,17
GREENE COUNTY,8,2,6,2,0,18
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",,
,,Page 21,,,,
