Name: “Table 1 of 1 on page 60 of 102”,Name: “Table 1 of 1 on page 60 of 102”,Name: “Table 1 of 1 on page 60 of 102”
Table: 60,Table: 60,Table: 60
,,
"Table 17. Deaths of Children, 17 Years and Younger, by Cause of Death, 2004","Table 17. Deaths of Children, 17 Years and Younger, by Cause of Death, 2004","Table 17. Deaths of Children, 17 Years and Younger, by Cause of Death, 2004"
Natural Deaths,Total Cases,Autopsied
Aneurysm,1,1
Aspiration,1,1
Asthma,1,0
Cerebrovascular,2,2
Congenital Defect,4,3
Dehydration,1,1
Diabetes,1,1
Epilepsy,2,1
Heart Disease,18,17
Hepatic Failure,1,1
Intrauterine Fetal Death,4,3
Meningitis,3,3
Natural - Other,10,9
Obstruction (blockage),1,1
Pneumonia,11,11
Prematurity,5,3
Sepsis,4,3
Sudden Infant Death Syndrome,83,82
Subtotal,153,143
Unnatural Deaths,,
Asphyxia,23,21
Carbon Monoxide Poisoning,22,18
Child Abuse,7,7
Drowning,25,12
Exposure to cold,1,1
Exposure to heat,1,1
Gunshot Wound,38,37
Hanging,7,4
Head and Neck Injuries,67,12
Multiple Injuries,45,5
Narcotic Abuse,1,1
Stab Wound,1,0
Subdural Hematoma,1,1
Substance Poisoning,5,5
Thermal Injuries (burns),2,1
Unnatural - Other,4,4
Subtotal,250,130
Undetermined after Autopsy and/or Investigation,18,18
Total,421,291
"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",
Page 54,,
