Name: “Table 1 of 1 on page 25 of 102”,Name: “Table 1 of 1 on page 25 of 102”,Name: “Table 1 of 1 on page 25 of 102”,Name: “Table 1 of 1 on page 25 of 102”,Name: “Table 1 of 1 on page 25 of 102”,Name: “Table 1 of 1 on page 25 of 102”,Name: “Table 1 of 1 on page 25 of 102”
Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25
,,,,,,
,"Table 7. Total Cases by Locality of Death, 2004 ~continued","Table 7. Total Cases by Locality of Death, 2004 ~continued","Table 7. Total Cases by Locality of Death, 2004 ~continued","Table 7. Total Cases by Locality of Death, 2004 ~continued","Table 7. Total Cases by Locality of Death, 2004 ~continued",
,,,Manner of Death,Manner of Death,,
Locality of Death,Accident,Homicide,Natural,Suicide,Undetermined,To tal
ROANOKE COUNTY,10,1,11,9,2,33
ROCKBRIDGE COUNTY,13,0,4,5,0,22
ROCKINGHAM COUNTY,20,1,10,6,0,37
RUSSELL COUNTY,25,0,4,9,1,39
SALEM,6,0,5,6,0,17
SCOTT COUNTY,12,0,0,3,0,15
SHENANDOAH COUNTY,11,1,10,6,1,29
SMYTH COUNTY,12,0,6,5,1,24
SOUTH BOSTON CITY,1,0,3,0,0,4
SOUTHAMPTON COU NTY,12,2,12,2,2,30
SPOTSYLVANIA COU NTY,12,2,12,8,0,34
STAFFORD COUNTY,8,4,14,9,0,35
STAUNTON CITY,2,0,3,3,0,8
SUFFOLK,22,5,22,8,1,58
SURRY CO UNTY,1,1,2,0,0,4
SUSSEX COUNTY,3,2,3,1,0,9
TAZEWELL COUNTY,26,1,11,6,1,45
VIRGINIA BEACH,76,18,105,48,0,247
WARREN COUN TY,19,1,10,14,0,44
WASHINGTON COUNT Y,26,3,18,8,2,57
WAYNESBORO,3,0,1,4,1,9
WESTMORELAND CO UNTY,3,3,0,1,1,8
WILLIAMSBURG CITY,9,0,25,4,0,38
WINCHESTER CITY,23,0,20,6,1,50
WISE COUNTY,27,1,8,2,0,38
WYTHE COUNT Y,15,1,6,5,1,28
YORK COUNTY,5,1,7,3,0,16
OUT OF STATE,2,3,1,3,0,9
Total,2 312,4 29,2 135,8 40,83,5 799
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",,
,Page 19,Page 19,,,,
