Name: “Table 1 of 1 on page 24 of 102”,Name: “Table 1 of 1 on page 24 of 102”,Name: “Table 1 of 1 on page 24 of 102”,Name: “Table 1 of 1 on page 24 of 102”,Name: “Table 1 of 1 on page 24 of 102”,Name: “Table 1 of 1 on page 24 of 102”,Name: “Table 1 of 1 on page 24 of 102”
Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24
,,,,,,
,"Table 7. Total Cases by Locality of Death, 2004 ~continued","Table 7. Total Cases by Locality of Death, 2004 ~continued","Table 7. Total Cases by Locality of Death, 2004 ~continued","Table 7. Total Cases by Locality of Death, 2004 ~continued","Table 7. Total Cases by Locality of Death, 2004 ~continued",
,,,Manner of Death,Manner of Death,,
Locality of Death,Accident,Homicide,Natural,Suicide,Undetermined,Total
GREENE COUNTY,8,1,6,3,0,18
GREENSVILLE COUNTY,5,4,9,0,0,18
HALIFAX COUNTY,26,2,10,5,1,44
HAMPTON,24,10,100,13,3,150
HANOVER COUNTY,35,3,28,8,0,74
HARRISONBURG,12,1,15,1,2,31
HENRICO COUNTY,64,20,61,21,2,168
HENRY COUNTY,13,3,5,8,1,30
HIGHLAND COUNTY,0,1,1,2,0,4
HOPEWELL CITY,5,1,9,1,1,17
ISLE OF WIGHT,7,2,5,5,0,19
JAMES CITY COUNTY,10,0,10,6,0,26
KING & QUEEN COUNTY,3,0,0,1,0,4
KING GEORGE COUNTY,4,1,4,2,0,11
KING WILLIAM COUNTY,2,0,0,3,0,5
LANCASTER COUNTY,3,0,6,0,0,9
LEE COUNTY,17,2,11,9,0,39
LEXINGTON,4,0,2,0,0,6
LOUDOUN COUNTY,35,2,40,17,0,94
LOUISA COUNTY,14,0,15,6,0,35
LUNENBURG COUNTY,5,0,0,3,0,8
LYNCHBURG,50,5,33,6,5,99
MADISON COUNTY,5,0,3,1,0,9
MANASSAS CITY,5,3,16,1,0,25
MARTINSVILLE,20,1,10,6,2,39
MECKLENBURG COUNTY,12,1,12,9,1,35
MIDDLESEX COUNTY,5,0,2,2,0,9
MONTGOMERY COUNTY,24,1,14,10,0,49
NELSON COUNTY,4,1,2,2,0,9
NEW KENT COUNTY,2,0,4,4,0,10
NEWPORT NEWS,54,21,80,18,3,176
NORFOLK,129,52,145,32,5,363
NORTHAMPTON COUNTY,11,3,16,4,0,34
NORTHUMBERLAND COUNTY,1,0,5,1,0,7
NORTON,11,0,4,3,0,18
NOTTOWAY COUNTY,5,0,13,4,1,23
ORANGE COUNTY,9,1,6,0,1,17
PAGE COUNTY,5,0,2,0,0,7
PATRICK COUNTY,20,2,2,6,0,30
PETERSBURG CITY,7,5,35,5,0,52
PITTSYLVANIA COUNTY,14,2,13,5,2,36
POQUOSON,2,0,0,0,0,2
PORTSMOUTH,34,7,61,10,2,114
POWHATAN COUNTY,2,0,22,4,0,28
PRINCE EDWARD COUNTY,7,1,8,2,0,18
PRINCE GEORGE COUNTY,10,1,6,6,0,23
PRINCE WILLIAM COUNTY,34,6,50,17,2,109
PULASKI COUNTY,13,0,15,7,0,35
RADFORD,2,0,0,2,0,4
RAPPAHANNOCK COUNTY,3,0,2,1,0,6
RICHMOND CITY,203,108,154,27,12,504
RICHMOND COUNTY,1,0,1,1,0,3
ROANOKE CITY,99,13,40,17,3,172
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",,
,Page 18,Page 18,,,,
