Name: “Table 1 of 1 on page 44 of 102”,Name: “Table 1 of 1 on page 44 of 102”,Name: “Table 1 of 1 on page 44 of 102”,Name: “Table 1 of 1 on page 44 of 102”,Name: “Table 1 of 1 on page 44 of 102”,Name: “Table 1 of 1 on page 44 of 102”,Name: “Table 1 of 1 on page 44 of 102”,Name: “Table 1 of 1 on page 44 of 102”,Name: “Table 1 of 1 on page 44 of 102”,Name: “Table 1 of 1 on page 44 of 102”,Name: “Table 1 of 1 on page 44 of 102”,Name: “Table 1 of 1 on page 44 of 102”,Name: “Table 1 of 1 on page 44 of 102”
Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44
,,,,,,,,,,,,
,,"Figure 23. Suicide Deaths by Method of Death, 2004","Figure 23. Suicide Deaths by Method of Death, 2004","Figure 23. Suicide Deaths by Method of Death, 2004","Figure 23. Suicide Deaths by Method of Death, 2004","Figure 23. Suicide Deaths by Method of Death, 2004","Figure 23. Suicide Deaths by Method of Death, 2004","Figure 23. Suicide Deaths by Method of Death, 2004",,,,
Motor Vehicle,3,,,,,,,,,,,
Fire,5,,,,,,,,,,,
Fall,10,,,,,,,,,,,
,14,,,,,,,,,,,
Traumatic Injury,,,,,,,,,,,,
Poisoned,20,,,,,,,,,,,
Drug Use,,112,,,,,,,,,,
Asphyxia,,,,176,,,,,,,,
,,,,,,,,,,,,500
Firearm,,,,,,,,,,,,
0,50,100,150,200,250,300,350,350,400,450,450,500
"Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004","Table 13. Suicide Deaths by Locality of Death by Year of Death, 1999 – 2004",
,,,,,,Year of Death,Year of Death,Year of Death,,,,
Locality of Death,Locality of Death,,1999,1999,2000,2001,2002,2003,2004,2004,Total,Total
Accomack,,,,6,4,2,2,4,,2,20,
Albemarle,,,,7,8,7,5,10,16,16,53,
Alexandria,,,,8,9,11,13,18,14,14,73,
Alleghany,,,,0,2,3,1,4,,1,11,
Amelia,,,,0,0,1,2,2,,3,8,
Amherst,,,,4,1,3,10,1,,4,23,
Appomattox,,,,0,0,1,4,2,,1,8,
Arlington,,,,9,14,10,22,15,14,14,84,
Augusta,,,11,11,6,3,10,12,13,13,55,
Bath,,,,0,0,1,0,0,,2,3,
Bedford City,,,,1,2,2,0,0,,0,5,
Bedford,,,,9,11,10,4,7,,5,46,
Bland,,,,3,0,1,0,3,,2,9,
Botetourt,,,,5,4,4,4,2,,2,21,
Bristol,,,,0,2,1,1,3,,3,10,
Brunswick,,,,0,1,0,2,4,,1,8,
Buchanan,,,,6,4,9,8,5,,8,40,
Buckingham,,,,4,4,2,2,0,,1,13,
Buena Vista,,,,0,2,0,1,0,,2,5,
Campbell,,,,4,5,9,2,5,,6,31,
Caroline,,,,5,3,1,2,5,,1,17,
,,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",,,,
,,,,,Page 38,,,,,,,
