OFFENSE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
MURDER/NONNEG MANSLAUGHTER,1,1,0,1,0,0,4,1,0,0,0,1,9
ABDUCTION/KIDNAPPING,2,1,1,0,4,1,2,2,2,1,4,5,25
FORCIBLE RAPE,4,1,1,3,0,0,2,1,2,1,2,3,20
OTHER FORCIBLE SEX OFFENSES,1,5,5,5,8,6,3,0,3,5,7,4,52
ROBBERY,7,8,13,5,12,9,8,6,21,15,15,30,149
AGGRAVATED ASSAULT,2,13,13,19,9,18,8,13,12,13,10,10,140
SIMPLE ASSAULT/INTIMIDATION,142,129,153,166,210,195,184,201,198,202,166,172,2118
ARSON,4,2,2,2,3,1,1,2,3,2,2,7,31
EXTORTION/BLACKMAIL,1,0,0,0,1,1,0,0,0,0,0,0,3
RESIDENTIAL BURGLARY,60,46,40,42,49,47,50,72,54,78,83,80,701
COMMERCIAL BURGLARY,4,4,5,7,12,10,7,11,2,12,9,13,96
SHOPLIFTING,89,62,84,87,109,100,90,97,82,107,104,88,1099
THEFT FROM BUILDING,6,10,8,12,14,6,9,14,13,13,16,10,131
OTHER LARCENIES,213,182,211,208,267,262,283,285,252,263,267,250,2943
MOTOR VEHICLE THEFT,36,17,19,12,19,12,38,27,22,25,27,13,267
COUNTERFEITING/FORGERY,13,9,11,6,10,21,16,33,20,13,16,26,194
FRAUD,40,38,37,52,32,35,52,41,45,33,51,42,498
EMBEZZLEMENT,10,12,6,17,13,11,12,12,11,11,7,17,139
STOLEN PROPERTY OFFENSES,3,1,2,0,3,2,2,6,4,1,3,2,29
DESTRUCTION/VANDALISM,172,160,191,174,181,175,201,230,194,203,214,229,2324
DRUG/NARCOTIC OFFENSES,82,79,82,94,79,83,65,61,64,64,85,66,904
NONFORCIBLE SEX OFFENSES,0,0,1,0,0,0,0,2,0,0,0,1,4
PORNOGRAPHY,1,0,0,3,0,2,0,1,1,3,0,2,13
GAMBLING,0,0,1,0,0,0,0,0,0,0,0,0,1
PROSTITUTION,0,5,0,0,0,0,0,0,0,1,1,0,7
BRIBERY,0,0,0,0,0,0,0,0,0,0,0,0,0
WEAPON LAW VIOLATION,26,35,31,40,42,40,31,50,51,38,35,53,472
TOTAL GROUP A OFFENSES,919,820,917,955,"1,077","1,037","1,068","1,168","1,056","1,104","1,124","1,124",12369
