Complaints - Criminal,Total
Alcohol Related,69
Arson,1
Assault on Family,65
Assault on Non Family,65
Assault Unknown Rel.,1
Bad Check,46
Bomb Device,0
Bomb Threat,0
Bribery,0
Burglary of Business,5
Burglary of Residence,15
Burglary of Other,1
Child Abuse/Neglect,23
Counterfeiting,6
Destruction of Property,120
Drugs,95
Extortion/Blacksmail,0
Unknown 9-1-1 Calls,288
Forgery,5
Fraud,27
Gambling,0
Harassment,63
Homicide,1
Juvenile Related,107
Kidnapped/Abduction,0
Larceny,206
Littering/Trash,4
Noise Complaints,172
Ordinance Violation,25
Robbery,4
Paper Services (Arrests),284
Protective Orders Served,76
Protective Orders Viol.,8
Prowlers,0
Pursuits,4
Sexual Assault,8
Sexual Offense,15
Threatening,39
Trespassing,100
Weapon Viol.,21
Total Criminal,1969
