Complaints - Non Criminal,Total
Accidental Death/Non Traffic,0
Accidental Injury/Non Traffic ,3
Accidental Property Damage ,8
Alarms ,264
Animal Calls ,452
Assist Citizens ,259
Assist Other Agencies ,228
Civil Disputes ,76
Death Inv. ,8
Disputes/Family ,141
Disputes/Non Family ,118
Disputes/Unknown Rel. ,14
Emergency Man/Haz Mat ,0
Fire/Rescue ,134
Inoperative Vehicles ,17
Locked Keys in Vehicle ,364
Mental Health ,87
Miscellaneous Calls ,251
Missing Persons ,14
Property Rep. Lost/Found ,59
Suicide/Attempted ,4
Suspicious Incidents/Persons ,600
Traffic Complaints ,861
Welfare Checks ,78
Window/Door Open ,28
Total Non Criminal ,4068
