"Building Name","Onsite Fire Alarm Monitoring (VTPD)","Partial Sprinkler System²","Full Sprinkler System³","Smoke Detection","Fire Extinguising Devices","Evacuation Plans & Signs","Number of Fire Drills each Calendar Year⁴"
"Ambler Johnston Hall (East) 720 Washington St. SW","X",,"X","X","X","X ","4⁵"
"Ambler Johnston Hall (West) 700 Washington St. SW","X",,"X","X","X","X ",4
"Barringer Hall 240 Kent St.","X ¹",,,"X","X","X ",4
"Brodie Hall 310 Alumni Mall","X ¹",,,"X","X","X ",4
"Campbell Hall (East) 320 Drillfield Drive","X ¹",,,"X","X","X ",4
"Campbell Hall (Main) 300 Drillfield Drive","X ¹",,,"X","X","X ",4
"Cochrane Hall 790 Washington St. SW","X","X",,"X","X","X ",4
"Eggleston Hall (Main) 440 Drillfield Drive","X ¹",,,"X","X","X ",4
"Eggleston Hall (West) 410 Drillfield Drive","X ¹",,,"X","X","X ",4
"Graduate Life Center at Donaldson Brown 155 Otey St. NW","X",,"X","X","X","X ",4
"Harper Hall 240 West Campus Drive","X",,"X","X","X","X ",4
"Hillcrest Hall 385 West Campus Drive","X",,,"X","X","X ",4
"Johnson Hall 500 Washington St SW","X ¹",,,"X","X","X ",4
"Lee Hall 570 Washington St. SW","X",,"X","X","X","X ",4
"Miles Hall 460 Washington St. SW","X ¹",,,"X","X","X ",4
"Monteith Hall 170 Turner St. NW","X ¹",,,"X","X","X ",4
"New Hall West 190 West Campus Drive ","X",,"X","X","X","X ",4
"New Hall East 540 Washington St. SW","X",,"X","X","X","X ",4
"Newman Hall 200 Kent St. ","X ¹ ",,,"X ","X ","X ",4
"O'shaughnessy Hall 530 Washington St. SW ","X ",,"X ","X ","X ","X ",4
"Payne Hall 380 Drillfield Drive ","X ",,"X ","X ","X ","X ",4
"Peddrew-Yates Residence Hall 610 Washington St. SW ","X ",,"X ","X ","X ","X ",4
"Pritchard Hall 630 Washington St. SW ","X ",,"X ","X ","X ","X ",4
"Rasche Hall 260 Alumni Mall ","X ¹ ",,,"X ","X ","X ",4
"Slusher Tower 280 Drillfield Drive ","X ",,"X ","X ","X ","X ",4
"Slusher Wing 280 Drillfield Drive ","X ",,"X ","X ","X ","X ",4
"Thomas Hall 190 Turner St. NW ","X ¹ ",,,"X ","X ","X ",4
"Vawter Hall 180 Kent St. ","X ¹ ",,,"X ","X ","X ",4
"Special Purpose Housing - Bldg. A 2750 Oak Lane ","X ",,,"X ","X ","X ",4
"Special Purpose Housing - Bldg. B 2740 Oak Lane ","X ",,,"X ","X ","X ",4
"Special Purpose Housing - Bldg. C 2720 Oak Lane ","X ",,,"X ","X ","X ",4
"Special Purpose Housing - Bldg. D 2805 Oak Lane ","X ",,"X ","X ","X ","X ",4
"Special Purpose Housing - Bldg. E 2705 Oak Lane ","X ",,"X ","X ","X ","X ",4
"Special Purpose Housing - Bldg. F 2615 Oak Lane ","X ",,"X ","X ","X ","X ",4
"Special Purpose Housing - Bldg. G 2575 Oak Lane ","X ",,"X ","X ","X ","X ",4
"Special Purpose Housing - Bldg. H 3205 Oak Lane ","X ",,"X ","X ","X ","X ",4
"Special Purpose Housing - Bldg. I 3160 Oak Lane ","X ",,"X ","X ","X ","X ",4
"Special Purpose Housing - Bldg. J 3170 Oak Lane","X ",,"X ","X ","X ","X ",4
"Special Purpose Housing - Bldg. K 3115 Oak Lane","X ",,"X ","X ","X ","X ",4
"Special Purpose Housing - Bldg. L 3115 Oak Lane","X ",,"X ","X ","X ","X ",4
"Special Purpose Housing - Bldg. M 3025 Oak Lane","X ",,"X ","X ","X ","X ",4
"Special Purpose Housing - Bldg. N 3025 Oak Lane","X ",,"X ","X ","X ","X ",4
"Special Purpose Housing - Bldg. O 2965 Oak Lane","X ",,"X ","X ","X ","X ",4
"Special Purpose Housing - Bldg. P 2965 Oak Lane","X ",,"X ","X ","X ","X ",4
"Special Purpose Housing - Bldg. Q 2875 Oak Lane","X ",,"X ","X ","X ","X ",4
"Special Purpose Housing - Bldg. R 2875 Oak Lane","X ",,"X ","X ","X ","X ",4
