Name: “Table 1 of 1 on page 14 of 29”,Name: “Table 1 of 1 on page 14 of 29”,Name: “Table 1 of 1 on page 14 of 29”,Name: “Table 1 of 1 on page 14 of 29”,Name: “Table 1 of 1 on page 14 of 29”,Name: “Table 1 of 1 on page 14 of 29”,Name: “Table 1 of 1 on page 14 of 29”,Name: “Table 1 of 1 on page 14 of 29”
Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14
,,,,,,,
APPENDIX A,APPENDIX A,,,,,,
,,Detail of Options,Detail of Options,Detail of Options,,,
,,,OPTION 1A,OPTION 1A,,,
"Add State Funded Grants, Office / Vehicle and Other Reimbursements in the Current Federal Overhead Cost Recovery","Add State Funded Grants, Office / Vehicle and Other Reimbursements in the Current Federal Overhead Cost Recovery","Add State Funded Grants, Office / Vehicle and Other Reimbursements in the Current Federal Overhead Cost Recovery","Add State Funded Grants, Office / Vehicle and Other Reimbursements in the Current Federal Overhead Cost Recovery","Add State Funded Grants, Office / Vehicle and Other Reimbursements in the Current Federal Overhead Cost Recovery","Add State Funded Grants, Office / Vehicle and Other Reimbursements in the Current Federal Overhead Cost Recovery","Add State Funded Grants, Office / Vehicle and Other Reimbursements in the Current Federal Overhead Cost Recovery","Add State Funded Grants, Office / Vehicle and Other Reimbursements in the Current Federal Overhead Cost Recovery"
,,,on a Per Inmate Day Basis,on a Per Inmate Day Basis,Adds,"$150,000",
"Eliminate State Funded Grants, Office / Vehicle and Other Reimbursements from the Three Jails that are","Eliminate State Funded Grants, Office / Vehicle and Other Reimbursements from the Three Jails that are","Eliminate State Funded Grants, Office / Vehicle and Other Reimbursements from the Three Jails that are","Eliminate State Funded Grants, Office / Vehicle and Other Reimbursements from the Three Jails that are","Eliminate State Funded Grants, Office / Vehicle and Other Reimbursements from the Three Jails that are","Eliminate State Funded Grants, Office / Vehicle and Other Reimbursements from the Three Jails that are","Eliminate State Funded Grants, Office / Vehicle and Other Reimbursements from the Three Jails that are",
,,,Exempt,,,,
,,from the Federal Overhead Cost Recovery,from the Federal Overhead Cost Recovery,from the Federal Overhead Cost Recovery,Adds,"$105,000",
,,,,Net,,,Total
,,,,Fed / Out -,With,,Without
,,Fed / Out of,,,,,
,Rev. per,state,,State,Exemptions,Exemptions to,Exemptions
,,,,Inmate,,,
Category,Inmate day,Inmate days,Exemptions,days,$ Recovery,$ Recovery,$ Recovery
,,,FY '03,,,,
Grants,$0.23,"550,246","-225,318","324,928","$74,733","$51,823","$126,557"
Office / Vehicles,$0.19,"550,246","-225,318","324,928","$61,736","$42,810","$104,547"
Other,$0.05,"550,246","-225,318","324,928","$16,246","$11,266","$27,512"
,$0.47,"550,246","-225,318","324,928","$152,716","$105,899","$258,616"
,,,12,,,,
