Name: “Table 1 of 1 on page 18 of 29”,Name: “Table 1 of 1 on page 18 of 29”,Name: “Table 1 of 1 on page 18 of 29”,Name: “Table 1 of 1 on page 18 of 29”,Name: “Table 1 of 1 on page 18 of 29”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,
,OPTION 2,,Continues --,
,Calculate Overhead Recovery at the,Calculate Overhead Recovery at the,Calculate Overhead Recovery at the,
,State Responsible Per -Diem Rate,State Responsible Per -Diem Rate,State Responsible Per -Diem Rate,
,,Sum Of,State,$ Ovhd
,,FEDMIL,Responsible Recovery,Responsible Recovery
Fips Jail,,Days,Per - Deims:,
770,Roanoke City,"35,517",$14.00,"$97,238"
161,Roanoke County/Salem,12,$14.00,$168
163,Rockbridge Regional,180,$14.00,"$2,520"
165,Rockingham County,"9,107",$14.00,"$127,498"
169,Scott County,45,$14.00,$630
171,Shenandoah County,8,$14.00,$112
173,Smyth County,5,$14.00,$70
491,Southside Regional,90,$14.00,"$1,260"
185,Tazewell County,66,$14.00,$924
810,Virginia Beach,"7,133",$14.00,"$99,862"
470,Virginia Peninsula Regional,643,$14.00,"$9,002"
191,Washington County,"3,007",$14.00,"$42,098"
620,Western Tidewater Regional,"39,203",$14.00,"$548,842"
195,Wise County,1,$14.00,$14
,TOTAL,"550,246",,"$4,548,992"
,16,,,
