,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Murder/Nonnegligent Manslaughter ,14,29,31,18,12,13,10,54,28,27,13,19,10,7,4,2,291
Negligent Manslaughter ,1,2,1,0,0,0,0,0,2,0,1,1,1,1,0,0,10
Kidnaping/Abduction ,42,38,37,56,44,50,49,186,110,102,89,56,31,16,8,4,918
Forcible Rape ,22,11,12,13,11,13,10,59,36,39,46,18,14,14,4,5,327
Forcible Sodomy ,12,5,7,2,5,6,3,13,17,14,15,13,8,5,7,4,136
Sexual Assault with an Object ,5,3,3,4,6,0,7,9,17,10,7,10,5,4,4,4,98
Forcible Fondling ,17,13,16,19,11,22,13,69,54,66,72,48,44,22,11,20,517
Robbery ,253,248,186,135,80,72,65,222,116,73,88,63,27,15,0,0,1643
Aggravated Assault ,243,255,236,221,193,192,173,685,430,448,410,297,186,110,50,34,4163
Simple Assault ,1161,1285,1335,1380,1344,1375,1269,5687,4125,3838,3583,2947,1689,740,345,349,32452
Intimidation ,81,72,69,65,40,58,42,188,156,197,175,147,80,42,23,20,1455
Arson ,13,13,10,9,4,4,7,15,16,13,7,17,6,3,2,1,140
Extortion/Blackmail ,2,2,1,1,3,0,1,8,1,4,4,1,3,0,0,1,32
Burglary/Breaking and Entering ,486,374,228,236,180,177,145,534,347,250,245,155,92,24,12,3,3488
Pocket Picking ,17,17,6,13,4,11,6,28,16,10,18,18,7,4,1,1,177
Purse Snatching ,1,3,2,0,2,0,1,2,1,0,2,1,1,0,0,0,16
Shoplifting ,1268,986,747,571,457,433,364,1474,952,894,794,723,471,261,99,97,10591
Theft from Building ,37,49,30,38,21,21,16,93,67,59,56,42,29,10,0,4,572
Theft from Coin-Operated Machine or Device ,3,0,0,0,3,1,0,3,4,8,2,7,7,1,1,0,40
Theft from Motor Vehicle ,41,39,27,20,20,20,50,45,35,44,45,20,9,3,3,0,421
Theft of Motor Vehicle Parts ,9,6,6,5,5,4,8,32,16,30,17,13,7,1,2,0,161
All Other Larceny ,894,784,631,501,452,385,352,1502,1062,944,894,719,465,200,77,71,9933
Motor Vehicle Theft ,93,73,55,52,34,29,27,124,83,84,66,43,25,15,6,2,811
Counterfeiting/Forgery ,91,113,125,122,106,121,86,505,326,265,265,155,81,30,9,3,2403
False Pretenses/Swindle/Confidence Game ,71,96,104,100,73,84,79,465,314,317,308,232,109,130,21,14,2517
Credit Card/Automatic Teller Machine Fraud ,30,29,51,23,25,24,10,147,74,62,37,29,18,20,2,2,583
Impersonation ,26,33,44,16,21,27,33,142,89,62,38,34,18,5,3,0,591
Welfare Fraud ,1,0,1,0,1,1,3,9,5,13,15,9,1,0,1,2,62
Wire Fraud ,1,1,0,0,0,1,0,4,3,3,0,1,0,0,0,0,14
Embezzlement ,151,162,121,94,88,76,65,273,212,178,177,127,56,52,15,10,1857
Stolen Property Offenses ,80,75,78,70,37,35,34,110,75,66,71,42,17,9,3,2,804
Destruct/Damage/Vandalism ,348,275,205,252,190,171,161,625,360,284,248,202,121,47,18,28,3535
Drug/Narcotic Violations ,2501,2530,2339,2013,1768,1665,1376,5342,3145,2224,1995,1665,976,428,138,91,30196
Drug Equipment Violations ,13,18,16,9,9,9,11,46,32,31,20,24,20,8,2,0,268
Incest,0,0,0,0,0,0,0,0,1,1,2,2,0,1,1,1,9
Statutory Rape ,23,13,12,6,8,8,5,14,1,8,1,0,0,0,0,0,99
Porno./Obscene Material ,4,0,7,3,3,4,3,10,9,13,6,9,4,3,3,2,83
Betting/Wagering ,1,4,0,7,2,2,4,9,3,4,2,2,3,1,0,0,44
Operating/Promoting/Assisting Gambling ,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4
Gambling Equip. Violations ,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,4
Sports Tampering ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
Prostitution ,6,11,20,24,17,12,13,91,42,56,61,42,17,14,2,4,432
Assisting/Promoting ,,,,,,,,,,,,,,,,,
Prostitution ,2,3,5,4,7,9,6,22,17,13,12,11,5,1,0,5,122
Bribery,2,2,1,1,0,2,1,6,1,1,2,2,0,0,0,0,21
Weapon Law Violations ,226,244,178,267,259,194,180,622,338,245,220,223,151,103,55,61,3566
Total,8292,7917,6985,6370,5545,5331,4688,19476,12739,11002,10129,8189,4814,2351,933,847,115608
