Structure,Loss Value
Single Occupancy Dwelling,"8,461,134"
Other Dwelling,"795,742"
Commercial/Business,"2,276,208"
Industrial/Manufacturing,20
Public/Community,"5,969,557"
Storage,"155,973"
Other,"1,113,586"
Non-Structure,
Alcohol,1
Automobiles,"1,294,213"
Bicycles,151
Buses,"382,822"
Clothes/Furs,"5,695"
Computer Hardware/Software,"2,000"
Consumable Goods,"6,291"
Farm Equipment,"40,750"
Firearms,
Heavy Construction/Indust.,"252,502"
Household Goods,"443,843"
Jewelry/Precious Metals,
Merchandise,400
Money,
Negotiable Instruments,
Office-Type Equipment,350
Other Motor Vehicles,"119,951"
Purses/Handbags/Wallets,834
Radios/TVs/VCRs,1
Recordings-Audio/Visual,160
Recreational Vehicles,"789,126"
Tools,"3,062"
Trucks,"280,983"
Vehicle Parts/Accessories,"6,599"
Watercraft,"50,900"
Other,"$1,032,374"
Pending Inventory,2
Total,"23,485,230"
Dollar value loss by property type may include unknown dollar value.,
