Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,,,,,,
,F,,,,,,
,U,,,,,,
10--14,M,,1,,,,1
,F,,,,,,
,U,,,,,,
15-19,M,5,64,,,,69
,F,3,3,,1,,7
,U,,,,,,
20-24,M,31,68,,,,99
,F,7,9,,,,16
,U,,,,,,
25-29,M,18,53,,,,71
,F,1,6,,,,7
,U,,,,,,
30-34,M,13,21,,,1,35
,F,3,3,,,,6
,U,,,,,,
35-39,M,12,15,,,,27
,F,,4,,1,,5
,U,,,,,,
40-44,M,8,9,,,,17
,F,1,3,,1,,5
,U,,,,,,
45-49,M,8,10,,,,18
,F,3,1,,,,4
,U,,,,,,
50-54,M,6,11,,,,17
,F,2,,,1,,3
,U,,,,,,
55-59,M,9,1,,,,10
,F,,1,,,,1
,U,,,,,,
60-64,M,5,1,,,,6
,F,1,,,,,1
,U,,,,,,
65 & Over,M,4,2,,,,6
,F,,,,,,
,U,,,,,,
Unknown,M,1,18,,,1,20
,F,,2,,,,2
,U,,,,,26,26
,M,120,274,,,2,396
TOTAL,F,21,32,,4,,57
,U,,,,,26,26
