Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Counties,,,,
ACCOMACK COUNTY,,,,
Sheriff's Office,52,43,9,10
Chincoteague PD,10,10,0,4
Onancock PD,4,4,0,0
Parksley PD,3,3,0,0
Onley PD,4,4,0,0
ALBEMARLE COUNTY,,,,
Albemarle PD,123,109,14,32
ALLEGHANY COUNTY,,,,
Sheriff's Office,42,37,5,16
AMELIA COUNTY,,,,
Sheriff's Office,16,16,0,8
AMHERST COUNTY,,,,
Sheriff's Office,64,48,16,6
Amherst PD,5,4,1,0
APPOMATTOX COUNTY,,,,
Sheriff's Office,30,24,6,3
ARLINGTON COUNTY,,,,
Arlington PD,360,295,65,82
AUGUSTA COUNY,,,,
Sheriff's Office,69,65,4,9
BATH COUNTY,,,,
Sheriff's Office,12,11,1,6
BEDFORD COUNTY,,,,
Sheriff's Office,78,67,11,2
BLAND COUNTY,,,,
Sheriff's Office,11,11,0,7
BOTETOURT COUNTY,,,,
Sheriff's Office,98,88,10,21
BRUNSWICK COUNTY,,,,
Sheriff's Office,39,35,4,13
Lawrenceville PD,5,5,0,0
BUCHANAN COUNTY,,,,
Sheriff's Office,32,28,4,11
Grundy PD,5,5,0,0
BUCKINGHAM COUNTY,,,,
Sheriff's Office,17,17,0,6
CAMPBELL COUNTY,,,,
Sheriff's Office,58,55,3,8
Altavista PD,12,12,0,0
Brookneal PD,3,3,0,0
CAROLINE COUNTY,,,,
Sheriff's Office,48,41,7,18
Bowling Green PD,0,0,0,0
CARROLL COUNTY,,,,
Sheriff's Office,30,28,2,6
Hillsville PD,11,11,0,1
CHARLES CITY COUNTY,,,,
Sheriff's Office,10,10,0,7
CHARLOTTE COUNTY,,,,
Sheriff's Office,34,24,10,3
CHESTERFIELD COUNTY,,,,
Chesterfield PD,478,427,51,104
CLARKE COUNTY,,,,
Sheriff's Office,18,16,2,11
Berryville PD,8,8,0,1
CRAIG COUNTY,,,,
Sheriff's Office,9,9,0,5
CULPEPER COUNTY,,,,
Sheriff's Office,77,60,17,16
Culpeper PD,42,38,4,9
CUMBERLAND COUNTY,,,,
Sheriff's Office,16,14,2,7
DICKENSON COUNTY,,,,
Sheriff's Office,21,20,1,7
Clintwood PD,4,4,0,0
Haysi PD,2,2,0,0
Clinchco PD,,,,
DINWIDDIE COUNTY,,,,
Sheriff's Office,43,41,2,4
ESSEX COUNTY,,,,
Sheriff's Office,20,13,7,0
Tappahannock PD,10,10,0,1
