Group A Offense,Number 2008 ,2008,2007,2006,2005,2004,2003,2002
Murder/Nonnegligent Manslaugter ,369,4.75,5.33,5.21,6.16,5.26,5.52,5.2
Kidnaping/Abduction ,"2,123",27.33,29.28,28.31,28.78,25.34,21.49,22.86
Forcible Sex Offenses ,"5,259",67.69,68.94,71.64,70.12,69.55,70.47,72.09
Robbery ,"7,486",96.36,100.37,101.55,98.92,92.62,89.03,94.12
Aggravated Assault ,"10,436",134.33,144.25,152.61,154.44,151.67,150.86,160.1
Simple Assault/Intimidation ,"98,696",1270.37,1278.19,1243.86,1247.8,1236.76,1175.22,1208.97
Arson ,"1,465",18.86,21.54,22.73,21.84,21.95,21.21,24.24
Extortion/Blackmail ,140,1.8,1.4,1.37,0.95,1.02,1.18,1.04
Burglary ,"31,749",408.66,408.85,412.53,385.13,373.85,379.04,420.53
Larceny ,"153,547",1976.38,1921.63,1908.36,2061.95,2105.84,2236.26,2413.07
Motor Vehicle Theft ,"13,161",169.4,182.66,193.19,209.62,232.08,237.82,252.11
Counterfeiting/Forgery ,"7,246",93.27,96.9,111.15,114.5,116.89,112.83,111.26
Fraud ,"24,440",314.58,303.7,273.29,240.13,217.42,195.13,178.32
Embezzlement ,"3,644",46.9,50.31,46.06,42.63,41.2,39.65,37.06
Stolen Property ,"1,833",23.59,23.29,21.85,19.23,18.06,17.45,17.19
Damage/Vandalism ,"92,451",1189.99,1223.79,1264.16,1205.4,1202.08,1235.86,1286.52
Drug/Narcotic Offenses ,"46,115",593.57,619.66,587.93,558.12,528.81,495.82,471.71
Nonforcible Sex Offenses ,230,2.96,2.83,3.34,3.53,4.04,3.44,3.98
Pornography ,462,5.95,4.75,3.9,3.03,2.45,2.21,2.21
Gambling ,59,0.76,0.92,2.11,0.74,0.52,1.12,0.59
Prostitution ,716,9.22,10.7,13.48,13.12,13.39,12.21,9.76
Bribery ,29,0.37,0.22,0.29,0.17,0.23,0.22,0.25
Weapon Law Violations ,"10,334",133.01,137.03,141.53,141.21,130.24,127.84,123.22
Crime counts are number of victims for offenses against a person and number of offenses for all other offenses.,,,,,,,,
