Drug Type,Under 10,10--12,13--14,15,16,17,18,19,20,21,22,23,24,25 29,30 34,35 39,40 44,45 49,50 54,55 59,60 64,65 & Over,Total
Crack Cocaine ,0,0,9,13,23,45,115,147,148,152,140,136,120,562,474,367,455,366,213,97,35,29,3646
Cocaine ,0,0,9,4,8,16,74,90,115,117,137,122,114,523,341,271,248,201,119,48,14,6,2577
Hashish ,0,0,0,0,0,0,1,0,1,3,0,2,0,4,4,0,1,1,1,0,0,0,18
Heroin ,0,0,0,2,0,3,16,23,16,33,25,31,49,174,113,89,82,49,44,19,1,2,771
Marijuana ,1,24,218,355,601,935,1980,1968,1725,1446,1187,1109,882,3092,1538,957,705,653,330,137,41,27,19911
Morphine ,0,0,0,0,1,2,5,0,2,1,5,1,2,14,7,12,5,6,1,6,0,1,71
Opium ,0,0,0,0,0,0,1,1,1,1,0,1,1,5,1,6,6,2,1,1,0,0,28
Other Narcotic ,0,0,23,10,20,15,32,31,49,27,27,28,41,169,139,122,120,128,92,40,14,12,1139
LSD ,0,0,0,0,0,1,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,7
PCP ,0,0,0,0,0,1,0,2,0,2,1,3,1,8,9,4,7,4,2,1,0,0,45
Other Hallucinogens ,0,0,3,1,1,3,3,2,5,6,4,1,1,12,5,3,1,3,1,2,1,0,58
Amphetamines/Methamphetamines ,0,0,1,1,1,7,9,14,12,14,11,22,8,59,52,29,39,17,8,7,1,0,312
Other Stimulants ,0,0,1,2,2,2,6,5,1,6,4,6,3,12,11,6,2,4,6,1,0,1,81
Barbiturates ,0,0,0,0,0,1,1,1,1,2,1,0,0,2,2,3,4,3,1,1,0,0,23
Other Depressants ,0,2,1,2,1,0,4,0,9,3,6,3,4,21,18,13,7,6,6,3,0,3,112
Other Drugs ,0,0,13,20,19,14,29,27,35,29,31,24,19,85,74,58,59,38,27,9,9,3,622
Unknown Drug Type ,0,3,27,58,97,111,224,217,219,171,189,175,130,600,356,284,254,184,124,56,22,7,3508
Total,1,29,305,468,774,1156,2501,2530,2339,2013,1768,1665,1376,5342,3145,2224,1995,1665,976,428,138,91,32929
