Name: “Table 1 of 1 on page 87 of 200”,Name: “Table 1 of 1 on page 87 of 200”,Name: “Table 1 of 1 on page 87 of 200”,Name: “Table 1 of 1 on page 87 of 200”,Name: “Table 1 of 1 on page 87 of 200”,Name: “Table 1 of 1 on page 87 of 200”,Name: “Table 1 of 1 on page 87 of 200”,Name: “Table 1 of 1 on page 87 of 200”,Name: “Table 1 of 1 on page 87 of 200”
Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87
,,,,,,,,
,,,,,,,P a g e | 85,P a g e | 85
"Table 2.9 Total Number of OCME Homicide Deaths by City/County of Injury and Year of Death, 2006-2012","Table 2.9 Total Number of OCME Homicide Deaths by City/County of Injury and Year of Death, 2006-2012","Table 2.9 Total Number of OCME Homicide Deaths by City/County of Injury and Year of Death, 2006-2012","Table 2.9 Total Number of OCME Homicide Deaths by City/County of Injury and Year of Death, 2006-2012","Table 2.9 Total Number of OCME Homicide Deaths by City/County of Injury and Year of Death, 2006-2012","Table 2.9 Total Number of OCME Homicide Deaths by City/County of Injury and Year of Death, 2006-2012","Table 2.9 Total Number of OCME Homicide Deaths by City/County of Injury and Year of Death, 2006-2012","Table 2.9 Total Number of OCME Homicide Deaths by City/County of Injury and Year of Death, 2006-2012","Table 2.9 Total Number of OCME Homicide Deaths by City/County of Injury and Year of Death, 2006-2012"
County/City of Injury,2006,2007,2008,2009,2010,2011,2012,Total
Accomack County,5,6,2,2,3,6,2,26
Albemarle County,1,1,2,1,2,2,4,13
Alexandria City,4,7,4,5,2,1,0,23
Alleghany County,0,3,1,0,1,1,1,7
Amelia County,0,0,0,0,1,0,0,1
Amherst County,0,1,1,0,0,1,0,3
Appomattox County,0,2,1,0,8,1,0,12
Arlington County,3,2,4,2,0,0,5,16
Augusta County,3,1,0,2,2,2,2,12
Bath County,0,0,0,2,0,0,0,2
Bedford City,0,0,1,0,0,0,0,1
Bedford County,1,2,0,0,2,1,1,7
Bland County,0,0,0,1,0,0,0,1
Botetourt County,0,1,0,1,1,0,0,3
Bristol City,4,0,0,0,1,1,1,7
Brunswick County,3,1,2,1,0,1,1,9
Buchanan County,1,0,2,6,3,6,2,20
Buckingham County,1,2,0,0,0,1,0,4
Buena Vista City,0,0,0,0,0,0,0,0
Campbell County,2,2,2,5,2,1,3,17
Caroline County,5,4,0,0,0,1,0,10
Carroll County,1,4,1,1,1,0,0,8
Charles City County,0,0,1,0,0,0,0,1
Charlotte County,0,0,2,1,0,1,1,5
Charlottesville City,5,3,5,0,3,1,2,19
Chesapeake City,7,15,12,17,14,12,12,89
Chesterfield County,5,9,12,4,10,10,11,61
Clarke County,0,0,1,1,0,0,0,2
Colonial Heights City,0,0,0,0,0,2,0,2
Covington City,0,0,0,0,1,1,1,3
Craig County,0,0,1,0,0,0,0,1
Culpeper County,1,1,0,0,0,3,1,6
Cumberland County,0,2,0,2,0,0,1,5
Danville City,5,6,10,8,9,6,3,47
Virginia Department of Health,,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,,April 2014
