Name: “Table 1 of 1 on page 72 of 200”,Name: “Table 1 of 1 on page 72 of 200”,Name: “Table 1 of 1 on page 72 of 200”,Name: “Table 1 of 1 on page 72 of 200”,Name: “Table 1 of 1 on page 72 of 200”,Name: “Table 1 of 1 on page 72 of 200”,Name: “Table 1 of 1 on page 72 of 200”,Name: “Table 1 of 1 on page 72 of 200”,Name: “Table 1 of 1 on page 72 of 200”
Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72
,,,,,,,,
,,,,,,,,P a g e | 70
County/City of Injury,2006,2007,2008,2009,2010,2011,2012,Total
Prince Edward County,9,16,5,14,11,4,9,68
Prince George County,9,12,12,10,12,11,12,78
Prince William County,69,57,65,64,75,82,92,504
Pulaski County,16,23,19,15,19,19,14,125
Radford City,2,5,9,3,8,3,8,38
Rappahannock County,0,4,2,3,6,4,5,24
Richmond City,127,132,85,69,66,88,77,644
Richmond County,2,2,6,2,4,4,5,25
Roanoke City,37,30,32,41,36,39,40,255
Roanoke County,27,22,23,19,17,26,27,161
Rockbridge County,12,14,10,13,7,10,14,80
Rockingham County,30,21,19,16,18,16,25,145
Russell County,19,19,15,11,16,20,14,114
Salem City,13,7,8,8,8,4,12,60
Scott County,6,8,10,9,5,8,9,55
Shenandoah County,14,5,24,13,12,15,17,100
Smyth County,13,10,11,7,12,10,9,72
Southampton County,10,15,10,10,11,6,8,70
Spotsylvania County,29,39,30,29,43,36,34,240
Stafford County,18,43,25,24,21,23,33,187
Staunton City,7,6,8,7,5,8,3,44
Suffolk City,16,36,26,17,30,26,25,176
Surry County,2,7,4,1,6,2,1,23
Sussex County,13,15,17,11,12,5,2,75
Tazewell County,36,11,16,19,25,30,23,160
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,April 2014,,
