Name: “Table 1 of 1 on page 102 of 200”,Name: “Table 1 of 1 on page 102 of 200”,Name: “Table 1 of 1 on page 102 of 200”,Name: “Table 1 of 1 on page 102 of 200”,Name: “Table 1 of 1 on page 102 of 200”
Table: 102,Table: 102,Table: 102,Table: 102,Table: 102
,,,,
,,,,P a g e | 100
"Table 2.13 Total Number of OCME Suicide Deaths by Manner of Death and Ethanol Level, 2012","Table 2.13 Total Number of OCME Suicide Deaths by Manner of Death and Ethanol Level, 2012","Table 2.13 Total Number of OCME Suicide Deaths by Manner of Death and Ethanol Level, 2012","Table 2.13 Total Number of OCME Suicide Deaths by Manner of Death and Ethanol Level, 2012","Table 2.13 Total Number of OCME Suicide Deaths by Manner of Death and Ethanol Level, 2012"
,,0.01-0.07%,≥0.08%,
Method of Death,No Ethanol,,,Total Cases
,,W/V,W/V,
Asphyxia,,,,
Drowned,8,4,2,14
Hanging,160,21,30,211
Helium,9,1,1,11
Plastic Bag,5,0,0,5
Oxygen replacement/displacement,0,2,0,2
Other asphyxia,5,0,1,6
Drug Use,,,,
"Ingested and/or injected illicit,",,,,
"prescription, and/or other type of drug",90,19,30,139
Jump,,,,
Jump from height,18,0,1,19
Poisoned,,,,
Carbon monoxide poisoning,11,5,2,18
Ingested ethylene glycol,6,2,0,8
"Ingested other poison (ex. Heavy metals,",,,,
etc.),2,0,0,2
Other,,,,
Other,1,0,0,1
Traumatic Injury,,,,
Cut/Stabbed self,7,3,1,11
Thermal burns and/or inhalation of,,,,
combustible material,3,1,1,5
Shot self with firearm,434,45,106,585
Handgun,(336),(31),(85),(452)
Rifle,(37),(1),(6),(49)
Shotgun,(61),(8),(15),(84)
Vehicular,,,,
Car,4,0,0,4
Multiple,0,0,1,1
Pickup Truck,1,0,0,1
Tractor Trailer,3,0,0,3
Train,5,1,1,7
TOTAL SUICIDE DEATHS,772,104,177,1053
Virginia Department of Health,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,April 2014
