Name: “Table 1 of 1 on page 88 of 200”,Name: “Table 1 of 1 on page 88 of 200”,Name: “Table 1 of 1 on page 88 of 200”,Name: “Table 1 of 1 on page 88 of 200”,Name: “Table 1 of 1 on page 88 of 200”,Name: “Table 1 of 1 on page 88 of 200”,Name: “Table 1 of 1 on page 88 of 200”,Name: “Table 1 of 1 on page 88 of 200”,Name: “Table 1 of 1 on page 88 of 200”
Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88
,,,,,,,,
,,,,,,,P a g e | 86,P a g e | 86
County/City of Injury,2006,2007,2008,2009,2010,2011,2012,Total
Dickenson County,0,1,1,1,1,2,0,6
Dinwiddie County,5,1,1,1,2,1,3,14
Emporia City,1,2,1,0,1,1,1,7
Essex County,0,0,0,0,0,1,0,1
Fairfax City,1,1,1,0,0,0,0,3
Fairfax County,29,16,25,19,16,12,18,135
Falls Church City,0,0,0,0,0,0,1,1
Fauquier County,2,4,1,3,1,1,3,15
Floyd County,0,0,2,2,0,1,0,5
Fluvanna County,0,0,1,0,0,0,0,1
Franklin City,0,0,0,2,1,0,1,4
Franklin County,2,1,1,4,3,2,0,13
Frederick County,7,0,2,2,1,1,3,16
Fredericksburg City,0,2,2,1,0,1,2,8
Galax City,1,1,0,1,0,0,0,3
Giles County,1,0,0,0,0,1,0,2
Gloucester County,0,1,1,0,1,2,3,8
Goochland County,1,0,2,0,1,0,0,4
Grayson County,0,1,7,0,0,0,0,8
Greene County,0,1,0,0,0,3,0,4
Greensville County,5,0,6,4,4,2,0,21
Halifax County,1,3,4,0,2,2,0,12
Hampton City,14,7,9,11,17,8,15,81
Hanover County,2,0,1,0,1,2,5,11
Harrisonburg City,4,0,1,0,1,2,1,9
Henrico County,10,15,16,12,12,13,14,92
Henry County,7,3,6,5,7,6,5,39
Highland County,0,0,0,0,0,0,0,0
Hopewell City,4,3,3,4,2,3,2,21
Isle of Wight County,1,0,2,1,0,0,4,8
James City County,1,1,1,1,0,2,0,6
King and Queen County,0,0,0,0,0,0,1,1
King George County,0,0,0,2,0,0,0,2
King William County,0,2,0,0,0,1,0,3
Lancaster County,2,0,1,0,3,1,1,8
Virginia Department of Health,,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,,April 2014
