Name: “Table 1 of 1 on page 171 of 200”,Name: “Table 1 of 1 on page 171 of 200”,Name: “Table 1 of 1 on page 171 of 200”,Name: “Table 1 of 1 on page 171 of 200”,Name: “Table 1 of 1 on page 171 of 200”,Name: “Table 1 of 1 on page 171 of 200”,Name: “Table 1 of 1 on page 171 of 200”
Table: 171,Table: 171,Table: 171,Table: 171,Table: 171,Table: 171,Table: 171
,,,,,,
,,,,,,P a g e | 169
Table 5.11 Total Number of OCME Drug/Poison Deaths by FHMO Combination and,Table 5.11 Total Number of OCME Drug/Poison Deaths by FHMO Combination and,Table 5.11 Total Number of OCME Drug/Poison Deaths by FHMO Combination and,Table 5.11 Total Number of OCME Drug/Poison Deaths by FHMO Combination and,Table 5.11 Total Number of OCME Drug/Poison Deaths by FHMO Combination and,Table 5.11 Total Number of OCME Drug/Poison Deaths by FHMO Combination and,
,"Race/Ethnicity, 2012","Race/Ethnicity, 2012",,,,
,,Race/Ethnicity,Race/Ethnicity,,,
FHMO Combination,Asian,Black,Hispanic,Other,White,Total Cases
Fentanyl,0,2,0,0,36,38
Fentanyl and Hydrocodone,0,0,0,0,4,4
"Fentanyl, Hydrocodone, and Oxycodone",0,0,0,0,1,1
Fentanyl and Methadone,0,0,0,0,1,1
"Fentanyl, Methadone, and Oxycodone",0,0,0,0,1,1
Fentanyl and Oxycodone,0,0,0,0,6,6
Hydrocodone,1,3,1,1,40,46
Hydrocodone and Methadone,0,1,0,0,6,7
"Hydrocodone, Methadone, and Oxycodone",0,0,0,0,2,2
Hydrocodone and Oxycodone,0,3,0,0,14,17
Methadone,0,9,1,0,74,84
Methadone and Oxycodone,0,0,0,0,17,17
Oxycodone,2,12,0,0,116,130
TOTAL DRUG/POISON DEATHS,3,30,2,1,318,354
Table 5.12 Total Number of OCME Drug/Poison Deaths by FHMO Combination and,Table 5.12 Total Number of OCME Drug/Poison Deaths by FHMO Combination and,Table 5.12 Total Number of OCME Drug/Poison Deaths by FHMO Combination and,Table 5.12 Total Number of OCME Drug/Poison Deaths by FHMO Combination and,Table 5.12 Total Number of OCME Drug/Poison Deaths by FHMO Combination and,Table 5.12 Total Number of OCME Drug/Poison Deaths by FHMO Combination and,
,"Gender, 2012",,,,,
,,,Gender,,,
FHMO Combination,,Female,,Male,Total Cases,Total Cases
Fentanyl,,11,,27,,38
Fentanyl and Hydrocodone,,1,,3,,4
"Fentanyl, Hydrocodone, and Oxycodone",,1,,0,,1
Fentanyl and Methadone,,1,,0,,1
"Fentanyl, Methadone, and Oxycodone",,1,,0,,1
Fentanyl and Oxycodone,,1,,5,,6
Hydrocodone,,28,,18,,46
Hydrocodone and Methadone,,4,,3,,7
"Hydrocodone, Methadone, and Oxycodone",,2,,0,,2
Hydrocodone and Oxycodone,,8,,9,,17
Methadone,,26,,58,,84
Methadone and Oxycodone,,8,,9,,17
Oxycodone,,62,,68,130,
TOTAL DRUG/POISON DEATHS,,154,,200,354,
Virginia Department of Health,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,,April 2014
