Name: “Table 1 of 1 on page 71 of 200”,Name: “Table 1 of 1 on page 71 of 200”,Name: “Table 1 of 1 on page 71 of 200”,Name: “Table 1 of 1 on page 71 of 200”,Name: “Table 1 of 1 on page 71 of 200”,Name: “Table 1 of 1 on page 71 of 200”,Name: “Table 1 of 1 on page 71 of 200”,Name: “Table 1 of 1 on page 71 of 200”,Name: “Table 1 of 1 on page 71 of 200”
Table: 71,Table: 71,Table: 71,Table: 71,Table: 71,Table: 71,Table: 71,Table: 71,Table: 71
,,,,,,,,
,,,,,,,,P a g e | 69
County/City of Injury,2006,2007,2008,2009,2010,2011,2012,Total
Lynchburg City,13,24,24,16,25,21,34,157
Madison County,3,9,6,3,5,4,6,36
Manassas,8,8,6,12,4,6,14,58
Manassas Park,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2,2
Martinsville City,8,3,8,6,7,7,6,45
Mathews County,8,4,1,4,2,2,3,24
Mecklenburg County,18,17,11,16,10,13,13,98
Middlesex County,3,7,6,6,6,1,4,33
Montgomery County,15,24,27,24,30,28,23,171
Nelson County,6,12,6,11,6,9,9,59
New Kent County,15,6,7,8,12,11,9,68
Newport News City,52,36,36,53,40,45,33,295
Norfolk City,59,79,59,67,49,73,71,457
Northampton County,6,8,10,9,5,3,2,43
Northumberland County,2,3,8,4,6,9,8,40
Norton City,3,0,1,1,2,0,1,8
Nottoway County,6,8,3,14,6,7,5,49
Orange County,6,14,13,10,14,16,9,82
Page County,4,10,4,7,8,14,12,59
Patrick County,5,7,11,8,8,5,9,53
Petersburg City,16,22,14,14,13,3,11,93
Pittsylvania County,28,30,37,29,25,27,34,210
Poquoson City,5,1,1,3,1,2,0,13
Portsmouth City,29,20,18,29,23,28,19,166
Powhatan County,14,6,7,5,3,7,12,54
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,April 2014,,
