Name: “Table 1 of 1 on page 73 of 200”,Name: “Table 1 of 1 on page 73 of 200”,Name: “Table 1 of 1 on page 73 of 200”,Name: “Table 1 of 1 on page 73 of 200”,Name: “Table 1 of 1 on page 73 of 200”,Name: “Table 1 of 1 on page 73 of 200”,Name: “Table 1 of 1 on page 73 of 200”,Name: “Table 1 of 1 on page 73 of 200”,Name: “Table 1 of 1 on page 73 of 200”
Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73
,,,,,,,,
,,,,,,,,P a g e | 71
County/City of Injury,2006,2007,2008,2009,2010,2011,2012,Total
Virginia Beach City,101,105,102,110,77,112,111,718
Warren County,6,11,17,9,25,23,15,106
Washington County,18,20,22,14,21,28,16,139
Waynesboro City,7,2,7,6,7,3,13,45
Westmoreland County,13,10,11,6,11,10,7,68
Williamsburg City,6,5,3,6,2,9,5,36
Winchester City,15,2,4,10,7,7,16,61
Wise County,31,28,15,22,22,23,19,160
Wythe County,11,14,24,12,13,9,17,100
York County,14,17,14,7,15,17,8,92
Subtotal (in-state),2316,2334,2224,2105,2080,2274,2334,15667
Out of State,29,52,46,52,54,54,59,346
Unknown,8,18,27,18,14,13,18,116
Subtotal (out-of-state),37,70,73,70,68,67,77,462
TOTAL,2353,2404,2297,2175,2148,2341,2411,16129
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,April 2014,,
