Name: “Table 1 of 1 on page 179 of 200”,Name: “Table 1 of 1 on page 179 of 200”,Name: “Table 1 of 1 on page 179 of 200”,Name: “Table 1 of 1 on page 179 of 200”,Name: “Table 1 of 1 on page 179 of 200”,Name: “Table 1 of 1 on page 179 of 200”,Name: “Table 1 of 1 on page 179 of 200”
Table: 179,Table: 179,Table: 179,Table: 179,Table: 179,Table: 179,Table: 179
,,,,,,
,,,,,P a g e | 177,P a g e | 177
Table 5.19 Total Number of OCME Cocaine and Heroin Combination Deaths by Whether,Table 5.19 Total Number of OCME Cocaine and Heroin Combination Deaths by Whether,Table 5.19 Total Number of OCME Cocaine and Heroin Combination Deaths by Whether,Table 5.19 Total Number of OCME Cocaine and Heroin Combination Deaths by Whether,Table 5.19 Total Number of OCME Cocaine and Heroin Combination Deaths by Whether,Table 5.19 Total Number of OCME Cocaine and Heroin Combination Deaths by Whether,Table 5.19 Total Number of OCME Cocaine and Heroin Combination Deaths by Whether
,"Alcohol Caused Death, 2012","Alcohol Caused Death, 2012","Alcohol Caused Death, 2012","Alcohol Caused Death, 2012",,
,,,Whether Alcohol Caused Death,Whether Alcohol Caused Death,,
FHMO Combination,,Yes,No,Contributed,Total Cases,Total Cases
Cocaine,,7,57,1,65,
Cocaine and Heroin,,9,11,0,20,
Heroin,,25,88,2,115,
TOTAL DEATHS,,41,156,3,200,
"Note: This table represents cocaine and/or heroin deaths in addition to whether alcohol caused, contributed, or didn’t","Note: This table represents cocaine and/or heroin deaths in addition to whether alcohol caused, contributed, or didn’t","Note: This table represents cocaine and/or heroin deaths in addition to whether alcohol caused, contributed, or didn’t","Note: This table represents cocaine and/or heroin deaths in addition to whether alcohol caused, contributed, or didn’t","Note: This table represents cocaine and/or heroin deaths in addition to whether alcohol caused, contributed, or didn’t","Note: This table represents cocaine and/or heroin deaths in addition to whether alcohol caused, contributed, or didn’t",
play a role (or was not detected) in the death.,play a role (or was not detected) in the death.,play a role (or was not detected) in the death.,,,,
Table 5.20 Total Number and Rate of OCME Cocaine and Heroin Combination Deaths by,Table 5.20 Total Number and Rate of OCME Cocaine and Heroin Combination Deaths by,Table 5.20 Total Number and Rate of OCME Cocaine and Heroin Combination Deaths by,Table 5.20 Total Number and Rate of OCME Cocaine and Heroin Combination Deaths by,Table 5.20 Total Number and Rate of OCME Cocaine and Heroin Combination Deaths by,Table 5.20 Total Number and Rate of OCME Cocaine and Heroin Combination Deaths by,Table 5.20 Total Number and Rate of OCME Cocaine and Heroin Combination Deaths by
,"City/County of Residence, 2012","City/County of Residence, 2012","City/County of Residence, 2012","City/County of Residence, 2012",,
,,Rate per,,,,Rate per
County/City of Residence,Total Deaths,,County/City of Residence,County/City of Residence,Total Deaths,
,,"100,000",,,,"100,000"
Accomack County,1,3.0,Charles City County,Charles City County,1,14.0
Albemarle County,1,1.0,Charlotte County,Charlotte County,0,0.0
Alexandria City,3,2.1,Charlottesville City,Charlottesville City,0,0.0
Alleghany County,0,0.0,Chesapeake City,Chesapeake City,8,3.5
Amelia County,0,0.0,Chesterfield County,Chesterfield County,6,1.9
Amherst County,2,6.2,Clarke County,Clarke County,1,7.0
Appomattox County,0,0.0,Colonial Heights City,Colonial Heights City,0,0.0
Arlington County,2,0.9,Covington City,Covington City,1,17.3
Augusta County,3,4.1,Craig County,Craig County,0,0.0
Bath County,0,0.0,Culpeper County,Culpeper County,1,2.1
Bedford City,0,0.0,Cumberland County,Cumberland County,1,10.2
Bedford County,1,1.4,Danville City,Danville City,1,2.3
Bland County,0,0.0,Dickenson County,Dickenson County,0,0.0
Botetourt County,0,0.0,Dinwiddie County,Dinwiddie County,1,3.6
Bristol City,1,5.7,Emporia City,Emporia City,0,0.0
Brunswick County,0,0.0,Essex County,Essex County,0,0.0
Buchanan County,0,0.0,Fairfax City,Fairfax City,0,0.0
Buckingham County,0,0.0,Fairfax County,Fairfax County,11,1.0
Buena Vista City,0,0.0,Falls Church City,Falls Church City,0,0.0
Campbell County,0,0.0,Fauquier County,Fauquier County,4,6.0
Caroline County,0,0.0,Floyd County,Floyd County,0,0.0
Carroll County,0,0.0,Fluvanna County,Fluvanna County,0,0.0
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,April 2014
