Name: “Table 1 of 1 on page 111 of 200”,Name: “Table 1 of 1 on page 111 of 200”,Name: “Table 1 of 1 on page 111 of 200”,Name: “Table 1 of 1 on page 111 of 200”,Name: “Table 1 of 1 on page 111 of 200”,Name: “Table 1 of 1 on page 111 of 200”,Name: “Table 1 of 1 on page 111 of 200”,Name: “Table 1 of 1 on page 111 of 200”,Name: “Table 1 of 1 on page 111 of 200”
Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111
,,,,,,,,
,,,,,,,P a g e | 109,P a g e | 109
County/City of Injury,2006,2007,2008,2009,2010,2011,2012,Total
Rappahannock County,0,4,3,1,3,2,5,18
Richmond City,32,25,22,35,21,33,25,193
Richmond County,1,1,4,0,2,1,1,10
Roanoke City,10,15,19,13,18,19,25,119
Roanoke County,11,7,19,9,20,14,13,93
Rockbridge County,5,4,6,5,5,6,3,34
Rockingham County,9,10,9,4,12,10,9,63
Russell County,5,4,10,7,5,6,6,43
Salem City,4,7,5,0,2,6,6,30
Scott County,3,12,5,4,5,6,5,40
Shenandoah County,7,5,8,8,5,9,7,49
Smyth County,3,11,5,3,3,6,7,38
Southampton County,4,1,4,3,4,2,2,20
Spotsylvania County,13,18,17,10,22,11,13,104
Stafford County,6,14,15,15,5,9,13,77
Staunton City,4,7,1,6,4,4,1,27
Suffolk City,11,1,10,6,5,14,12,59
Surry County,0,1,0,4,1,0,2,8
Sussex County,1,2,1,4,4,1,1,14
Tazewell County,11,4,4,12,6,6,8,51
Virginia Beach City,61,50,45,60,64,65,51,396
Warren County,3,12,8,6,5,7,8,49
Washington County,6,10,11,13,10,10,11,71
Waynesboro City,6,3,3,4,2,3,2,23
Westmoreland County,4,2,4,2,2,5,5,24
Williamsburg City,10,2,1,1,8,6,1,29
Winchester City,6,1,7,2,6,5,3,30
Wise County,9,13,8,4,5,9,3,51
Wythe County,4,4,8,5,2,7,4,34
York County,3,8,11,6,11,15,8,62
Subtotal (in-state),882,900,945,969,991,1058,1051,6796
Out of State,2,6,3,4,4,9,2,30
Unknown,0,0,1,1,1,0,0,3
Subtotal (out-of-state),2,6,4,5,5,9,2,33
TOTAL,884,906,949,974,996,1067,1053,6829
Virginia Department of Health,,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,,April 2014
