Name: “Table 1 of 1 on page 110 of 200”,Name: “Table 1 of 1 on page 110 of 200”,Name: “Table 1 of 1 on page 110 of 200”,Name: “Table 1 of 1 on page 110 of 200”,Name: “Table 1 of 1 on page 110 of 200”,Name: “Table 1 of 1 on page 110 of 200”,Name: “Table 1 of 1 on page 110 of 200”,Name: “Table 1 of 1 on page 110 of 200”,Name: “Table 1 of 1 on page 110 of 200”
Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110
,,,,,,,,
,,,,,,,P a g e | 108,P a g e | 108
County/City of Injury,2006,2007,2008,2009,2010,2011,2012,Total
Lee County,5,4,7,5,2,5,9,37
Lexington City,0,1,0,0,0,0,1,2
Loudoun County,20,23,13,24,20,35,35,170
Louisa County,5,8,2,5,9,7,3,39
Lunenburg County,6,1,1,3,1,2,3,17
Lynchburg City,8,6,13,5,9,10,6,57
Madison County,2,4,3,1,3,1,4,18
Manassas,2,3,9,3,1,5,5,28
Manassas Park,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0
Martinsville City,0,4,0,1,1,4,1,11
Mathews County,1,0,2,0,1,2,1,7
Mecklenburg County,4,6,7,5,8,4,4,38
Middlesex County,0,1,1,5,1,3,3,14
Montgomery County,11,22,8,5,9,14,8,77
Nelson County,2,1,3,4,4,3,3,20
New Kent County,3,3,2,3,1,6,5,23
Newport News City,11,15,18,14,20,23,29,130
Norfolk City,27,34,29,22,29,28,29,198
Northampton County,0,4,1,0,1,5,0,11
Northumberland County,1,3,2,0,4,3,0,13
Norton City,0,0,2,1,0,1,1,5
Nottoway County,1,0,4,4,3,3,2,17
Orange County,6,4,5,2,4,5,12,38
Page County,6,5,7,3,4,8,4,37
Patrick County,3,4,4,4,7,4,5,31
Petersburg City,1,4,7,3,4,3,4,26
Pittsylvania County,13,9,6,13,9,9,12,71
Poquoson City,1,1,1,0,0,0,0,3
Portsmouth City,8,14,10,11,16,8,20,87
Powhatan County,5,2,4,2,8,6,5,32
Prince Edward County,3,3,1,5,3,3,4,22
Prince George County,6,7,7,7,5,4,3,39
Prince William County,32,29,35,41,42,28,33,240
Pulaski County,11,10,2,6,9,9,6,53
Radford City,1,0,2,0,2,1,1,7
Virginia Department of Health,,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,,April 2014
