Name: “Table 1 of 1 on page 70 of 200”,Name: “Table 1 of 1 on page 70 of 200”,Name: “Table 1 of 1 on page 70 of 200”,Name: “Table 1 of 1 on page 70 of 200”,Name: “Table 1 of 1 on page 70 of 200”,Name: “Table 1 of 1 on page 70 of 200”,Name: “Table 1 of 1 on page 70 of 200”,Name: “Table 1 of 1 on page 70 of 200”,Name: “Table 1 of 1 on page 70 of 200”
Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70,Table: 70
,,,,,,,,
,,,,,,,,P a g e | 68
County/City of Injury,2006,2007,2008,2009,2010,2011,2012,Total
Giles County,9,5,9,9,10,3,10,55
Gloucester County,21,10,16,10,20,14,12,103
Goochland County,6,15,10,14,8,8,13,74
Grayson County,13,5,2,6,5,5,6,42
Greene County,4,14,5,4,7,2,9,45
Greensville County,10,3,2,5,6,2,5,33
Halifax County,15,22,27,14,20,16,9,123
Hampton City,31,28,28,25,35,38,24,209
Hanover County,21,27,26,13,18,30,26,161
Harrisonburg City,11,1,3,5,4,8,6,38
Henrico County,89,66,76,73,70,58,72,504
Henry County,34,15,34,22,26,31,31,193
Highland County,1,2,2,2,2,1,0,10
Hopewell City,5,8,6,7,7,6,6,45
Isle of Wight County,16,16,15,12,13,7,11,90
James City County,17,8,24,16,13,19,11,108
King and Queen County,5,7,5,8,2,1,3,31
King George County,5,7,8,10,2,8,10,50
King William County,3,7,5,9,2,6,6,38
Lancaster County,9,9,6,2,2,8,2,38
Lee County,11,16,10,13,8,15,11,84
Lexington City,3,2,1,2,4,1,2,15
Loudoun County,23,37,27,29,32,36,52,236
Louisa County,16,24,17,21,14,11,13,116
Lunenburg County,6,11,9,5,2,1,6,40
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,April 2014,,
