Name: “Table 1 of 1 on page 177 of 200”,Name: “Table 1 of 1 on page 177 of 200”,Name: “Table 1 of 1 on page 177 of 200”,Name: “Table 1 of 1 on page 177 of 200”,Name: “Table 1 of 1 on page 177 of 200”,Name: “Table 1 of 1 on page 177 of 200”,Name: “Table 1 of 1 on page 177 of 200”,Name: “Table 1 of 1 on page 177 of 200”
Table: 177,Table: 177,Table: 177,Table: 177,Table: 177,Table: 177,Table: 177,Table: 177
,,,,,,,
,,,,,,,P a g e | 175
,COCAINE AND HEROIN DEATHS (N=200),COCAINE AND HEROIN DEATHS (N=200),COCAINE AND HEROIN DEATHS (N=200),COCAINE AND HEROIN DEATHS (N=200),COCAINE AND HEROIN DEATHS (N=200),COCAINE AND HEROIN DEATHS (N=200),
"Cocaine and heroin are not the only illegal drugs used in Virginia; however, they are the main compounds","Cocaine and heroin are not the only illegal drugs used in Virginia; however, they are the main compounds","Cocaine and heroin are not the only illegal drugs used in Virginia; however, they are the main compounds","Cocaine and heroin are not the only illegal drugs used in Virginia; however, they are the main compounds","Cocaine and heroin are not the only illegal drugs used in Virginia; however, they are the main compounds","Cocaine and heroin are not the only illegal drugs used in Virginia; however, they are the main compounds","Cocaine and heroin are not the only illegal drugs used in Virginia; however, they are the main compounds","Cocaine and heroin are not the only illegal drugs used in Virginia; however, they are the main compounds"
"found in deaths by illegal drugs. Additionally, heroin deaths are typically underestimated because heroin is","found in deaths by illegal drugs. Additionally, heroin deaths are typically underestimated because heroin is","found in deaths by illegal drugs. Additionally, heroin deaths are typically underestimated because heroin is","found in deaths by illegal drugs. Additionally, heroin deaths are typically underestimated because heroin is","found in deaths by illegal drugs. Additionally, heroin deaths are typically underestimated because heroin is","found in deaths by illegal drugs. Additionally, heroin deaths are typically underestimated because heroin is","found in deaths by illegal drugs. Additionally, heroin deaths are typically underestimated because heroin is","found in deaths by illegal drugs. Additionally, heroin deaths are typically underestimated because heroin is"
"very rapidly metabolized into morphine. Therefore, without known heroin history, circumstances, and/or the","very rapidly metabolized into morphine. Therefore, without known heroin history, circumstances, and/or the","very rapidly metabolized into morphine. Therefore, without known heroin history, circumstances, and/or the","very rapidly metabolized into morphine. Therefore, without known heroin history, circumstances, and/or the","very rapidly metabolized into morphine. Therefore, without known heroin history, circumstances, and/or the","very rapidly metabolized into morphine. Therefore, without known heroin history, circumstances, and/or the","very rapidly metabolized into morphine. Therefore, without known heroin history, circumstances, and/or the","very rapidly metabolized into morphine. Therefore, without known heroin history, circumstances, and/or the"
"presence of a specific heroin metabolite, heroin cases may be missed. [NOTE: Cocaine and heroin tables and","presence of a specific heroin metabolite, heroin cases may be missed. [NOTE: Cocaine and heroin tables and","presence of a specific heroin metabolite, heroin cases may be missed. [NOTE: Cocaine and heroin tables and","presence of a specific heroin metabolite, heroin cases may be missed. [NOTE: Cocaine and heroin tables and","presence of a specific heroin metabolite, heroin cases may be missed. [NOTE: Cocaine and heroin tables and","presence of a specific heroin metabolite, heroin cases may be missed. [NOTE: Cocaine and heroin tables and","presence of a specific heroin metabolite, heroin cases may be missed. [NOTE: Cocaine and heroin tables and","presence of a specific heroin metabolite, heroin cases may be missed. [NOTE: Cocaine and heroin tables and"
figures represent deaths in which one or both illegal drugs caused death; but other drugs/poisons also may,figures represent deaths in which one or both illegal drugs caused death; but other drugs/poisons also may,figures represent deaths in which one or both illegal drugs caused death; but other drugs/poisons also may,figures represent deaths in which one or both illegal drugs caused death; but other drugs/poisons also may,figures represent deaths in which one or both illegal drugs caused death; but other drugs/poisons also may,figures represent deaths in which one or both illegal drugs caused death; but other drugs/poisons also may,figures represent deaths in which one or both illegal drugs caused death; but other drugs/poisons also may,figures represent deaths in which one or both illegal drugs caused death; but other drugs/poisons also may
have caused death.],have caused death.],,,,,,
,Almost 80% of the cases were males,Almost 80% of the cases were males,Almost 80% of the cases were males,,,,
