Name: “Table 1 of 1 on page 109 of 200”,Name: “Table 1 of 1 on page 109 of 200”,Name: “Table 1 of 1 on page 109 of 200”,Name: “Table 1 of 1 on page 109 of 200”,Name: “Table 1 of 1 on page 109 of 200”,Name: “Table 1 of 1 on page 109 of 200”,Name: “Table 1 of 1 on page 109 of 200”,Name: “Table 1 of 1 on page 109 of 200”,Name: “Table 1 of 1 on page 109 of 200”
Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109
,,,,,,,,
,,,,,,,P a g e | 107,P a g e | 107
County/City of Injury,2006,2007,2008,2009,2010,2011,2012,Total
Dickenson County,2,5,5,8,7,5,7,39
Dinwiddie County,3,3,1,1,7,3,2,20
Emporia City,3,0,2,1,1,0,0,7
Essex County,0,1,3,2,3,2,3,14
Fairfax City,2,2,1,6,4,2,2,19
Fairfax County,85,86,88,104,87,90,98,638
Falls Church City,0,1,3,0,1,0,2,7
Fauquier County,7,4,8,9,14,14,13,69
Floyd County,2,2,1,3,4,4,5,21
Fluvanna County,2,3,4,2,2,3,5,21
Franklin City,0,0,0,0,1,0,1,2
Franklin County,5,8,6,7,3,10,11,50
Frederick County,9,7,7,8,8,14,19,72
Fredericksburg City,6,4,5,2,4,5,4,30
Galax City,1,1,2,1,3,3,1,12
Giles County,2,3,3,5,3,4,2,22
Gloucester County,7,6,9,4,8,13,9,56
Goochland County,2,5,2,4,2,0,1,16
Grayson County,3,2,5,2,2,8,5,27
Greene County,4,2,2,3,4,3,1,19
Greensville County,2,0,0,2,2,4,1,11
Halifax County,8,4,4,5,5,4,6,36
Hampton City,13,16,18,16,9,7,13,92
Hanover County,12,15,17,11,6,15,23,99
Harrisonburg City,2,4,4,6,6,2,1,25
Henrico County,37,26,25,39,30,42,31,230
Henry County,11,12,19,13,16,10,9,90
Highland County,0,0,0,0,1,1,1,3
Hopewell City,1,1,2,3,3,2,3,15
Isle of Wight County,5,1,0,3,2,4,6,21
James City County,5,4,9,7,9,6,10,50
King and Queen County,2,4,2,1,1,1,3,14
King George County,3,2,2,3,6,3,4,23
King William County,1,1,1,4,0,2,7,16
Lancaster County,0,3,4,1,2,2,4,16
Virginia Department of Health,,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,,April 2014
