Name: “Table 1 of 1 on page 68 of 200”,Name: “Table 1 of 1 on page 68 of 200”,Name: “Table 1 of 1 on page 68 of 200”,Name: “Table 1 of 1 on page 68 of 200”,Name: “Table 1 of 1 on page 68 of 200”,Name: “Table 1 of 1 on page 68 of 200”,Name: “Table 1 of 1 on page 68 of 200”,Name: “Table 1 of 1 on page 68 of 200”,Name: “Table 1 of 1 on page 68 of 200”
Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68
,,,,,,,,
,,,,,,,,P a g e | 66
"Table 2.3 Total Number of OCME Accidental Death Cases by City/County of Injury and Year of Death, 2006-2012","Table 2.3 Total Number of OCME Accidental Death Cases by City/County of Injury and Year of Death, 2006-2012","Table 2.3 Total Number of OCME Accidental Death Cases by City/County of Injury and Year of Death, 2006-2012","Table 2.3 Total Number of OCME Accidental Death Cases by City/County of Injury and Year of Death, 2006-2012","Table 2.3 Total Number of OCME Accidental Death Cases by City/County of Injury and Year of Death, 2006-2012","Table 2.3 Total Number of OCME Accidental Death Cases by City/County of Injury and Year of Death, 2006-2012","Table 2.3 Total Number of OCME Accidental Death Cases by City/County of Injury and Year of Death, 2006-2012","Table 2.3 Total Number of OCME Accidental Death Cases by City/County of Injury and Year of Death, 2006-2012","Table 2.3 Total Number of OCME Accidental Death Cases by City/County of Injury and Year of Death, 2006-2012"
County/City of Injury,2006,2007,2008,2009,2010,2011,2012,Total
Accomack County,22,20,11,19,18,16,15,121
Albemarle County,17,20,33,25,28,34,28,185
Alexandria City,21,21,21,22,14,22,16,137
Alleghany County,10,14,8,5,6,4,7,54
Amelia County,4,7,11,9,4,8,9,52
Amherst County,11,8,16,9,5,17,19,85
Appomattox County,2,6,7,4,3,5,4,31
Arlington County,18,20,30,34,27,24,34,187
Augusta County,26,35,38,33,31,27,33,223
Bath County,2,3,1,4,3,3,6,22
Bedford City,3,5,5,4,4,2,0,23
Bedford County,22,27,16,30,31,24,40,190
Bland County,0,6,2,7,4,7,2,28
Botetourt County,12,12,13,11,11,19,15,93
Bristol City,6,10,3,3,7,5,7,41
Brunswick County,16,7,6,8,13,8,14,72
Buchanan County,21,18,19,11,23,18,20,130
Buckingham County,3,9,6,3,5,5,7,38
Buena Vista City,0,0,1,2,0,1,2,6
Campbell County,32,16,31,12,17,14,25,147
Caroline County,9,14,8,9,13,14,10,77
Carroll County,17,15,19,11,7,13,14,96
Charles City County,4,8,7,7,7,6,5,44
Charlotte County,4,6,6,5,6,9,6,42
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,April 2014,,
