Name: “Table 1 of 1 on page 89 of 200”,Name: “Table 1 of 1 on page 89 of 200”,Name: “Table 1 of 1 on page 89 of 200”,Name: “Table 1 of 1 on page 89 of 200”,Name: “Table 1 of 1 on page 89 of 200”,Name: “Table 1 of 1 on page 89 of 200”,Name: “Table 1 of 1 on page 89 of 200”,Name: “Table 1 of 1 on page 89 of 200”,Name: “Table 1 of 1 on page 89 of 200”
Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89
,,,,,,,,
,,,,,,,P a g e | 87,P a g e | 87
County/City of Injury,2006,2007,2008,2009,2010,2011,2012,Total
Lee County,0,1,2,1,4,4,1,13
Lexington City,0,0,0,0,0,0,0,0
Loudoun County,4,2,4,4,1,2,2,19
Louisa County,0,4,1,1,3,0,1,10
Lunenburg County,1,1,2,1,0,0,0,5
Lynchburg City,2,1,4,0,3,4,3,17
Madison County,0,0,1,0,1,3,1,6
Manassas,1,1,4,1,1,4,1,13
Manassas Park,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0
Martinsville City,0,2,2,0,3,2,1,10
Mathews County,0,0,0,1,0,0,0,1
Mecklenburg County,0,1,4,1,2,1,0,9
Middlesex County,1,0,0,0,0,1,0,2
Montgomery County,3,33,3,7,2,1,0,49
Nelson County,0,1,0,1,1,1,0,4
New Kent County,0,0,1,1,0,0,0,2
Newport News City,20,30,16,24,23,18,20,151
Norfolk City,34,53,29,50,34,29,36,265
Northampton County,2,1,0,0,2,0,0,5
Northumberland County,0,1,0,0,0,0,1,2
Norton City,0,0,0,0,0,0,1,1
Nottoway County,0,1,0,1,1,0,2,5
Orange County,2,1,1,1,1,0,1,7
Page County,1,0,0,0,1,0,2,4
Patrick County,0,1,0,0,0,0,0,1
Petersburg City,10,7,5,11,13,7,5,58
Pittsylvania County,2,4,3,4,4,5,1,23
Poquoson City,0,0,0,0,0,0,0,0
Portsmouth City,18,17,16,18,14,12,11,106
Powhatan County,0,0,4,1,1,3,0,9
Prince Edward County,0,1,1,7,0,1,1,11
Prince George County,0,0,1,3,2,1,0,7
Prince William County,12,14,11,11,10,6,3,67
Pulaski County,1,0,2,1,2,0,1,7
Radford City,1,0,1,0,1,1,1,5
Virginia Department of Health,,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,,April 2014
