Name: “Table 1 of 1 on page 14 of 200”,Name: “Table 1 of 1 on page 14 of 200”,Name: “Table 1 of 1 on page 14 of 200”,Name: “Table 1 of 1 on page 14 of 200”,Name: “Table 1 of 1 on page 14 of 200”
Table: 14,Table: 14,Table: 14,Table: 14,Table: 14
,,,,
,,,,P a g e | 12
Introduction,Introduction,Introduction,,
"This report represents the deaths investigated by the Virginia Department of Health, Office of the Chief","This report represents the deaths investigated by the Virginia Department of Health, Office of the Chief","This report represents the deaths investigated by the Virginia Department of Health, Office of the Chief","This report represents the deaths investigated by the Virginia Department of Health, Office of the Chief",
Medical Examiner in 2012.,Medical Examiner in 2012.,Medical Examiner in 2012.,,
Data Collection and Preparation,Data Collection and Preparation,Data Collection and Preparation,,
The data in this report reflect deaths accepted by the Office of the Chief Medical Examiner (OCME) pursuant,The data in this report reflect deaths accepted by the Office of the Chief Medical Examiner (OCME) pursuant,The data in this report reflect deaths accepted by the Office of the Chief Medical Examiner (OCME) pursuant,The data in this report reflect deaths accepted by the Office of the Chief Medical Examiner (OCME) pursuant,The data in this report reflect deaths accepted by the Office of the Chief Medical Examiner (OCME) pursuant
to §32.1-283 of the Code of Virginia for the 2012 calendar year.,to §32.1-283 of the Code of Virginia for the 2012 calendar year.,to §32.1-283 of the Code of Virginia for the 2012 calendar year.,These deaths are both Virginia residents and,These deaths are both Virginia residents and
non-residents whose deaths generally occurred within the borders of the Commonwealth of Virginia.,non-residents whose deaths generally occurred within the borders of the Commonwealth of Virginia.,non-residents whose deaths generally occurred within the borders of the Commonwealth of Virginia.,non-residents whose deaths generally occurred within the borders of the Commonwealth of Virginia.,The
Virginia OCME classifies these deaths by its own coding schema which differs from mortality data published by,Virginia OCME classifies these deaths by its own coding schema which differs from mortality data published by,Virginia OCME classifies these deaths by its own coding schema which differs from mortality data published by,Virginia OCME classifies these deaths by its own coding schema which differs from mortality data published by,Virginia OCME classifies these deaths by its own coding schema which differs from mortality data published by
"other OCME surveillance groups, law enforcement agencies, the Virginia Center for Health Statistics, and the","other OCME surveillance groups, law enforcement agencies, the Virginia Center for Health Statistics, and the","other OCME surveillance groups, law enforcement agencies, the Virginia Center for Health Statistics, and the","other OCME surveillance groups, law enforcement agencies, the Virginia Center for Health Statistics, and the","other OCME surveillance groups, law enforcement agencies, the Virginia Center for Health Statistics, and the"
Centers for Disease Control and Prevention.,Centers for Disease Control and Prevention.,Centers for Disease Control and Prevention.,"Therefore, any discrepancies between data presented by the","Therefore, any discrepancies between data presented by the"
OCME and other nosology groups are the result of data collection and analytic variations among these groups.,OCME and other nosology groups are the result of data collection and analytic variations among these groups.,OCME and other nosology groups are the result of data collection and analytic variations among these groups.,OCME and other nosology groups are the result of data collection and analytic variations among these groups.,OCME and other nosology groups are the result of data collection and analytic variations among these groups.
Statistical Summary,Statistical Summary,Statistical Summary,,
,Data entitled “Total Cases” are based on both Virginia residents and non-Virginia residents who deaths,Data entitled “Total Cases” are based on both Virginia residents and non-Virginia residents who deaths,Data entitled “Total Cases” are based on both Virginia residents and non-Virginia residents who deaths,Data entitled “Total Cases” are based on both Virginia residents and non-Virginia residents who deaths
,have come under the jurisdiction of the Office of the Chief Medical Examiner,have come under the jurisdiction of the Office of the Chief Medical Examiner,have come under the jurisdiction of the Office of the Chief Medical Examiner,
,"Rates are per 100,000 of the specific population being described","Rates are per 100,000 of the specific population being described","Rates are per 100,000 of the specific population being described",
,Race/Ethnicity,Race/Ethnicity,,
,o,"Asian, Black, Native American, and White races represent those who have been identified as","Asian, Black, Native American, and White races represent those who have been identified as","Asian, Black, Native American, and White races represent those who have been identified as"
,,non-Hispanic ethnicity,,
,o,Hispanic is persons identified as White race with Hispanic ethnicity,Hispanic is persons identified as White race with Hispanic ethnicity,
,o,Other is persons that are identified as more than one race and/or Hispanic ethnicity (excluding,Other is persons that are identified as more than one race and/or Hispanic ethnicity (excluding,Other is persons that are identified as more than one race and/or Hispanic ethnicity (excluding
,,White),,
,Percents may total to above or below 100% due to rounding,Percents may total to above or below 100% due to rounding,Percents may total to above or below 100% due to rounding,
,Toxicology,Toxicology,,
,o,Results are based on blood specimens and vitreous fluid,Results are based on blood specimens and vitreous fluid,
Virginia Department of Health,Virginia Department of Health,Virginia Department of Health,Office of the Chief Medical Examiner,April 2014
