Name: “Table 1 of 1 on page 25 of 200”,Name: “Table 1 of 1 on page 25 of 200”,Name: “Table 1 of 1 on page 25 of 200”,Name: “Table 1 of 1 on page 25 of 200”,Name: “Table 1 of 1 on page 25 of 200”,Name: “Table 1 of 1 on page 25 of 200”
Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25
,,,,,
,,,,,P a g e | 23
National Association of Medical Examiners Accreditation,National Association of Medical Examiners Accreditation,National Association of Medical Examiners Accreditation,National Association of Medical Examiners Accreditation,,
The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical
"examiners, medicolegal death investigators and death investigation system administrators who investigate","examiners, medicolegal death investigators and death investigation system administrators who investigate","examiners, medicolegal death investigators and death investigation system administrators who investigate","examiners, medicolegal death investigators and death investigation system administrators who investigate","examiners, medicolegal death investigators and death investigation system administrators who investigate","examiners, medicolegal death investigators and death investigation system administrators who investigate"
"deaths of public interest, either legal or public health, in the United States.","deaths of public interest, either legal or public health, in the United States.","deaths of public interest, either legal or public health, in the United States.","deaths of public interest, either legal or public health, in the United States.",NAME has developed an,NAME has developed an
accreditation process to improve the quality of death investigation within medical examiner offices and,accreditation process to improve the quality of death investigation within medical examiner offices and,accreditation process to improve the quality of death investigation within medical examiner offices and,accreditation process to improve the quality of death investigation within medical examiner offices and,accreditation process to improve the quality of death investigation within medical examiner offices and,accreditation process to improve the quality of death investigation within medical examiner offices and
systems.,"When an office is accredited by NAME, it is an endorsement that the office has provided an","When an office is accredited by NAME, it is an endorsement that the office has provided an","When an office is accredited by NAME, it is an endorsement that the office has provided an","When an office is accredited by NAME, it is an endorsement that the office has provided an","When an office is accredited by NAME, it is an endorsement that the office has provided an"
environment adequate for a medical examiner to practice his or her profession and that the office can,environment adequate for a medical examiner to practice his or her profession and that the office can,environment adequate for a medical examiner to practice his or her profession and that the office can,environment adequate for a medical examiner to practice his or her profession and that the office can,environment adequate for a medical examiner to practice his or her profession and that the office can,environment adequate for a medical examiner to practice his or her profession and that the office can
adequately serve its jurisdiction.,The accreditation process includes but is not limited to: inspection of,The accreditation process includes but is not limited to: inspection of,The accreditation process includes but is not limited to: inspection of,The accreditation process includes but is not limited to: inspection of,The accreditation process includes but is not limited to: inspection of
"facilities, review of facility and personnel safety, qualification of medical examiners, review of medical legal","facilities, review of facility and personnel safety, qualification of medical examiners, review of medical legal","facilities, review of facility and personnel safety, qualification of medical examiners, review of medical legal","facilities, review of facility and personnel safety, qualification of medical examiners, review of medical legal","facilities, review of facility and personnel safety, qualification of medical examiners, review of medical legal","facilities, review of facility and personnel safety, qualification of medical examiners, review of medical legal"
"procedures, and review of reports and records.",One requirement within the reports and records section is an,One requirement within the reports and records section is an,One requirement within the reports and records section is an,One requirement within the reports and records section is an,One requirement within the reports and records section is an
"annual statistical report, which OCME fulfills with this report.","annual statistical report, which OCME fulfills with this report.",The following two tables provide data on the,The following two tables provide data on the,The following two tables provide data on the,The following two tables provide data on the
NAME required fields:,,,,,
,Central,Northern,Tidewater,Western,Total
TOTAL DEATHS IN VIRGINIA IN 2012,17162,12945,12955,18029,61091
Total Deaths Reported to OCME,3579,1906,1595,2279,9359
OCME Cases by Examination Type,,,,,
Complete examinations (autopsy),846,661,616,821,2944
External examination,890,596,602,692,2780
Partial examination,5,36,2,0,43
TOTAL CASES ACCEPTED BY THE OCME,1741,1293,1220,1513,5767
OCME Cases by Manner of Death,,,,,
Accident,710,586,420,695,2411
Homicide,117,42,129,56,344
Natural,574,341,415,458,1788
Suicide,304,284,202,263,1053
Undetermined,36,40,54,41,171
TOTAL CASES ACCEPTED BY THE OCME,1741,1293,1220,1513,5767
Virginia Department of Health,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,April 2014
