Name: “Table 1 of 1 on page 69 of 200”,Name: “Table 1 of 1 on page 69 of 200”,Name: “Table 1 of 1 on page 69 of 200”,Name: “Table 1 of 1 on page 69 of 200”,Name: “Table 1 of 1 on page 69 of 200”,Name: “Table 1 of 1 on page 69 of 200”,Name: “Table 1 of 1 on page 69 of 200”,Name: “Table 1 of 1 on page 69 of 200”,Name: “Table 1 of 1 on page 69 of 200”
Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69
,,,,,,,,
,,,,,,,,P a g e | 67
County/City of Injury,2006,2007,2008,2009,2010,2011,2012,Total
Charlottesville City,21,28,11,16,12,9,8,105
Chesapeake City,55,60,47,53,43,58,57,373
Chesterfield County,56,71,92,68,70,74,82,513
Clarke County,5,6,5,8,10,4,8,46
Colonial Heights City,6,3,4,2,2,3,3,23
Covington City,4,0,2,2,0,1,0,9
Craig County,7,2,2,4,2,2,1,20
Culpeper County,16,24,12,12,14,15,20,113
Cumberland County,1,2,4,3,2,3,4,19
Danville City,16,13,22,20,20,19,16,126
Dickenson County,11,16,13,5,11,13,10,79
Dinwiddie County,12,14,20,12,10,8,9,85
Emporia City,2,8,2,1,3,3,3,22
Essex County,4,7,4,7,5,8,3,38
Fairfax City,3,4,5,11,5,7,11,46
Fairfax County,221,157,144,149,152,195,184,1202
Falls Church City,2,1,0,1,1,6,0,11
Fauquier County,21,32,26,33,32,33,27,204
Floyd County,13,10,5,8,5,10,5,56
Fluvanna County,9,7,14,7,6,5,7,55
Franklin City,2,2,1,1,2,0,1,9
Franklin County,27,22,23,26,21,33,38,190
Frederick County,24,25,26,31,27,29,25,187
Fredericksburg City,22,14,15,6,11,12,20,100
Galax City,0,3,0,0,0,3,4,10
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,April 2014,,
