Name: “Table 1 of 1 on page 33 of 200”,Name: “Table 1 of 1 on page 33 of 200”,Name: “Table 1 of 1 on page 33 of 200”,Name: “Table 1 of 1 on page 33 of 200”,Name: “Table 1 of 1 on page 33 of 200”,Name: “Table 1 of 1 on page 33 of 200”,Name: “Table 1 of 1 on page 33 of 200”,Name: “Table 1 of 1 on page 33 of 200”
Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33
,,,,,,,
,,,,,,P a g e | 31,P a g e | 31
"Table 1.7 Total Number of OCME Cases by Manner of Death, Gender, and Age Group, 2012","Table 1.7 Total Number of OCME Cases by Manner of Death, Gender, and Age Group, 2012","Table 1.7 Total Number of OCME Cases by Manner of Death, Gender, and Age Group, 2012","Table 1.7 Total Number of OCME Cases by Manner of Death, Gender, and Age Group, 2012","Table 1.7 Total Number of OCME Cases by Manner of Death, Gender, and Age Group, 2012","Table 1.7 Total Number of OCME Cases by Manner of Death, Gender, and Age Group, 2012","Table 1.7 Total Number of OCME Cases by Manner of Death, Gender, and Age Group, 2012","Table 1.7 Total Number of OCME Cases by Manner of Death, Gender, and Age Group, 2012"
,,,Manner of Death,Manner of Death,,,
Gender,Age Group,Accident,Homicide,Natural,Suicide,Undetermined,Total
,"
    ",13,4,11,0,31,59
,1-4,14,2,6,0,5,27
,5-9,12,0,3,0,1,16
,10-14,14,3,4,3,0,24
,15-19,55,26,10,34,1,126
,20-24,120,51,19,65,9,264
,25-34,242,76,62,139,11,530
,35-44,207,34,149,137,10,537
,45-54,270,37,301,156,14,778
,55-64,216,19,342,137,11,725
,65-74,135,5,203,62,0,405
,75-84,146,5,96,62,2,311
,85+,125,2,34,25,0,186
,Unknown,1,1,0,0,3,5
,Subtotal,1570,265,1240,820,98,3993
,"
    ",4,4,10,0,37,55
,1-4,9,10,4,0,1,24
,5-9,5,0,1,0,0,6
,10-14,2,2,2,2,,8
,15-19,24,3,4,8,0,39
,20-24,46,7,9,15,2,79
,25-34,76,8,35,33,8,160
,35-44,108,13,62,49,7,239
,45-54,129,21,125,62,7,344
,55-64,87,4,104,39,5,239
,65-74,73,2,68,16,1,160
,75-84,105,3,69,7,3,187
,85+,172,2,55,2,1,232
,Unknown,1,0,0,0,1,2
,Subtotal,841,79,548,233,73,1774
TOTAL,,2411,344,1788,1053,171,5767
Virginia Department of Health,Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,April 2014
