Category,Disposition,,,,Total
,Sustained,Not Sustained,Exonerated,Unfounded,
Rudeness,4,3,1,2,10
Incomplete Investigation,5,1,,,6
Late reporting for duty,6,,,,6
Missed Court,2,,,,2
Unprofessional,3,1,,,4
Misuse of Authority,1,1,,,2
Neglect of Duty,1,,1,,2
Asleep on Duty,1,,,,1
Search Procedures (failed to follow),4,,1,,5
Alcohol on duty,2,,,,2
Violation of Law,2,,,,2
Improper animal care,1,,,,1
Improper traffic stop,,1,,,1
Abuse of Leave,1,,,,1
Improper Arrest,,1,,,1
Misuse of E-mail,1,,,,1
Accidental discharge of,1,,,,1
Total,35,8,3,2,48
