Reason for Pursuit,2006,2007
Traffic Violation,80%,61%
Felony Suspect,10%,21%
Pursuit of other Jurisdiction,10%,7%
Misdemeanor,0%,11%
Pursuit Resulting in Arrests,,
Yes,61%,68%
No,39%,32%
Pursuit Resulting in Crash,,
Yes,29%,25%
No,71%,75%
Pursuit Terminated by:,,
Suspect,49%,57%
Officer,6%,11%
Supervisor,16%,18%
Crash,29%,14%
Distance of Pursuits,,
0 - 2 Miles,64%,80%
2 - 4 miles,16%,14%
4 - 6 miles,10%,3%
> 6 miles,10%,3%
Suspect Injury,,
Yes,16%,14%
No,84%,86%
Pursuit Speed,,
0-45,45%,36%
50-75,39%,39%
75+,16%,25%
