countycode,state,sta,county,countyname,hhuniv,estimated_number_foreclosures,estimated_number_mortgages,estimated_foreclosure_rate,total_90_day_vacant_residential_addresses,total_residential_addresses,estimated_90_day_vacancy_rate,total_hicost_2004_to_2006_HMDA_loans,total_2004_to_2006_HMDA_loans,estimated_hicost_loan_rate,bls_unemployment_rate,ofheo_price_change
51001,51,VA,001,Accomack County,"15,270",110,"2,735",4.0%,132,"8,857",1.5%,506,"1,802",28.1%,5.1%,0.0%
51003,51,VA,003,Albemarle County,"31,916",142,"17,023",0.8%,191,"38,069",0.5%,"1,247","11,217",11.1%,3.3%,-0.4%
51005,51,VA,005,Alleghany County,"5,596",43,"1,170",3.7%,26,"5,393",0.5%,191,771,24.8%,5.5%,0.0%
51007,51,VA,007,Amelia County,"4,240",91,"2,301",4.0%,0,"4,805",0.0%,427,"1,516",28.2%,4.7%,-0.4%
51009,51,VA,009,Amherst County,"11,928",123,"3,823",3.2%,15,"11,763",0.1%,627,"2,519",24.9%,4.3%,0.0%
51011,51,VA,011,Appomattox County,"5,331",40,"1,317",3.0%,6,"3,961",0.2%,195,868,22.5%,4.7%,0.0%
51013,51,VA,013,Arlington County,"86,474",486,"41,044",1.2%,"1,147","101,036",1.1%,"2,108","27,046",7.8%,2.6%,-9.1%
51015,51,VA,015,Augusta County,"24,857",280,"11,010",2.5%,4,"26,321",0.0%,"1,580","7,255",21.8%,3.8%,0.0%
51017,51,VA,017,Bath County,"2,053",7,308,2.3%,0,975,0.0%,42,203,20.7%,3.6%,0.0%
51019,51,VA,019,Bedford County,"23,798",184,"11,350",1.6%,132,"27,778",0.5%,"1,184","7,479",15.8%,3.7%,0.0%
51021,51,VA,021,Bland County,"2,555",9,388,2.3%,1,"1,788",0.1%,39,256,15.2%,5.5%,0.0%
51023,51,VA,023,Botetourt County,"11,662",92,"5,670",1.6%,74,"12,002",0.6%,615,"3,736",16.5%,3.4%,0.0%
51025,51,VA,025,Brunswick County,"6,262",50,839,6.0%,20,"5,849",0.3%,207,553,37.4%,6.7%,0.0%
51027,51,VA,027,Buchanan County,"10,496",54,739,7.3%,4,"4,400",0.1%,230,487,47.2%,6.1%,0.0%
51029,51,VA,029,Buckingham County,"5,312",29,624,4.6%,0,"1,027",0.0%,134,411,32.6%,5.1%,0.0%
51031,51,VA,031,Campbell County,"20,653",188,"6,476",2.9%,409,"21,935",1.9%,972,"4,267",22.8%,4.3%,0.0%
51033,51,VA,033,Caroline County,"8,025",415,"8,392",4.9%,0,"9,484",0.0%,"1,868","5,530",33.8%,5.2%,-0.4%
51035,51,VA,035,Carroll County,"12,188",93,"2,342",4.0%,55,"12,023",0.5%,344,"1,543",22.3%,7.3%,0.0%
51036,51,VA,036,Charles City County,"2,669",51,"1,012",5.0%,0,"2,829",0.0%,225,667,33.7%,5.3%,-0.4%
51037,51,VA,037,Charlotte County,"4,954",52,"1,011",5.1%,0,"4,512",0.0%,220,666,33.0%,6.1%,0.0%
51041,51,VA,041,Chesterfield County,"93,807","2,385","78,759",3.0%,347,"119,211",0.3%,"12,535","51,898",24.2%,4.0%,-0.4%
51043,51,VA,043,Clarke County,"4,950",95,"3,633",2.6%,45,"5,279",0.9%,356,"2,394",14.9%,3.6%,-9.1%
51045,51,VA,045,Craig County,"2,063",46,700,6.6%,2,"1,503",0.1%,217,461,47.1%,4.4%,0.0%
51047,51,VA,047,Culpeper County,"12,151",516,"13,862",3.7%,269,"16,752",1.6%,"2,394","9,134",26.2%,5.1%,0.0%
51049,51,VA,049,Cumberland County,"3,512",79,"1,571",5.0%,1,"6,609",0.0%,354,"1,035",34.2%,5.3%,-0.4%
51051,51,VA,051,Dickenson County,"6,742",50,810,6.2%,25,"4,860",0.5%,211,534,39.5%,6.3%,0.0%
51053,51,VA,053,Dinwiddie County,"9,105",219,"4,161",5.3%,0,"10,262",0.0%,"1,015","2,742",37.0%,4.7%,-0.4%
51057,51,VA,057,Essex County,"3,981",48,"1,228",3.9%,0,"2,940",0.0%,219,809,27.1%,5.2%,0.0%
51059,51,VA,059,Fairfax County,"351,279","6,707","295,802",2.3%,"2,963","396,338",0.7%,"27,077","194,917",13.9%,3.1%,-9.1%
51061,51,VA,061,Fauquier County,"19,889",570,"19,452",2.9%,136,"22,874",0.6%,"2,172","12,818",16.9%,3.6%,-9.1%
51063,51,VA,063,Floyd County,"5,803",34,"1,379",2.5%,55,"6,086",0.9%,169,909,18.6%,4.8%,0.0%
51065,51,VA,065,Fluvanna County,"7,369",136,"6,125",2.2%,52,"9,293",0.6%,831,"4,036",20.6%,3.2%,-0.4%
51067,51,VA,067,Franklin County,"18,954",193,"7,048",2.7%,158,"21,991",0.7%,965,"4,644",20.8%,4.7%,0.0%
51069,51,VA,069,Frederick County,"22,124","1,024","23,023",4.4%,37,"28,561",0.1%,"3,479","15,171",22.9%,4.2%,-12.0%
51071,51,VA,071,Giles County,"6,990",75,"1,895",4.0%,213,"6,732",3.2%,321,"1,249",25.7%,5.9%,0.0%
51073,51,VA,073,Gloucester County,"13,133",190,"7,163",2.7%,0,"12,092",0.0%,"1,047","4,720",22.2%,3.6%,-0.7%
51075,51,VA,075,Goochland County,"6,178",67,"4,922",1.4%,0,"7,896",0.0%,458,"3,243",14.1%,3.5%,-0.4%
51077,51,VA,077,Grayson County,"7,261",41,929,4.4%,18,"7,137",0.3%,162,612,26.5%,6.7%,0.0%
51079,51,VA,079,Greene County,"5,578",87,"3,985",2.2%,0,"6,105",0.0%,502,"2,626",19.1%,3.7%,-0.4%
51081,51,VA,081,Greensville County,"3,377",34,618,5.5%,3,"3,549",0.1%,153,407,37.6%,5.2%,0.0%
51083,51,VA,083,Halifax County,"14,997",131,"2,625",5.0%,309,"15,135",2.0%,519,"1,730",30.0%,6.9%,0.0%
51085,51,VA,085,Hanover County,"31,103",342,"21,584",1.6%,48,"37,088",0.1%,"2,183","14,223",15.3%,3.6%,-0.4%
51087,51,VA,087,Henrico County,"108,071","1,897","65,673",2.9%,946,"128,556",0.7%,"10,150","43,275",23.5%,3.9%,-0.4%
51089,51,VA,089,Henry County,"23,946",239,"4,365",5.5%,634,"22,816",2.8%,892,"2,876",31.0%,7.8%,0.0%
51091,51,VA,091,Highland County,"1,122",2,85,2.4%,0,730,0.0%,10,56,17.9%,4.6%,0.0%
51093,51,VA,093,Isle of Wight County,"11,307",196,"7,218",2.7%,51,"13,893",0.4%,"1,040","4,756",21.9%,3.9%,-0.7%
51095,51,VA,095,James City County,"19,049",168,"14,472",1.2%,108,"27,540",0.4%,"1,244","9,536",13.0%,3.3%,-0.7%
51097,51,VA,097,King and Queen County,"2,680",30,748,4.0%,0,"1,823",0.0%,145,493,29.4%,4.6%,-0.4%
51099,51,VA,099,King George County,"6,092",192,"6,198",3.1%,0,"8,212",0.0%,890,"4,084",21.8%,5.2%,0.0%
51101,51,VA,101,King William County,"4,881",95,"3,452",2.8%,0,"5,216",0.0%,529,"2,275",23.3%,3.6%,-0.4%
51103,51,VA,103,Lancaster County,"5,012",33,"1,096",3.0%,0,"4,058",0.0%,145,722,20.1%,5.6%,0.0%
51105,51,VA,105,Lee County,"9,744",65,870,7.5%,231,"7,786",3.0%,284,573,49.6%,5.7%,0.0%
51107,51,VA,107,Loudoun County,"59,921","2,632","116,592",2.3%,485,"100,249",0.5%,"10,450","76,828",13.6%,3.1%,-9.1%
51109,51,VA,109,Louisa County,"9,975",273,"7,290",3.7%,0,"12,539",0.0%,"1,350","4,804",28.1%,4.3%,-0.4%
51111,51,VA,111,Lunenburg County,"4,996",47,780,6.0%,0,"3,745",0.0%,195,514,37.9%,6.6%,0.0%
51113,51,VA,113,Madison County,"4,744",56,"1,915",2.9%,2,"4,223",0.0%,302,"1,262",23.9%,4.0%,0.0%
51115,51,VA,115,Mathews County,"3,934",25,"1,229",2.0%,0,"1,510",0.0%,147,810,18.1%,3.7%,-0.7%
51117,51,VA,117,Mecklenburg County,"12,901",101,"2,630",3.8%,179,"12,986",1.4%,417,"1,733",24.1%,6.2%,0.0%
51119,51,VA,119,Middlesex County,"4,254",25,"1,389",1.8%,0,"2,946",0.0%,150,915,16.4%,4.0%,0.0%
51121,51,VA,121,Montgomery County,"31,054",133,"9,702",1.4%,726,"35,807",2.0%,782,"6,393",12.2%,4.4%,0.0%
