Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,4,7,,,,11
,F,,1,,,,
,U,,,,,,
10--14,M,1,1,,,,2
,F,4,,,,,4
,U,,,,,,
15-19,M,9,22,,,,31
,F,5,4,,,,9
,U,,,,,,
20-24,M,9,39,,,1,49
,F,8,10,,,,18
,U,,,,,,0
25-29,M,9,37,,,,46
,F,6,4,,,,10
,U,,,,,,0
30-34,M,9,14,,1,,24
,F,5,2,,,,7
,U,,,,,,0
35-39,M,8,14,,1,,23
,F,6,3,,,,9
,U,,,,,,0
40-44,M,5,13,,,,18
,F,7,6,,,,13
,U,,,,,,0
45-49,M,5,4,,,,9
,F,4,1,,,,5
,U,,,,,,0
50-54,M,6,1,,,,7
,F,2,1,,,,3
,U,,,,,,0
55-59,M,4,,,,,4
,F,,1,,,,1
,U,,,,,,0
60-64,M,2,3,,,,5
,F,2,,,,,2
,U,,,,,,0
65 & Over,M,4,7,,,,11
,F,12,5,,,,17
,U,,,,,,0
Unknown,M,6,5,,,,11
,F,2,2,,,1,5
,U,,,,,,0
TOTAL,M,81,167,,2,1,251
,F,63,40,,,1,104
,U,,,,,,0
