Offenses,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Murder/Nonnegligent Manslaughter,284,97,187,,
Negligent Manslaughter,7,5,2,,
Kidnapping,551,243,303,3,2
Forcible Rape,470,261,207,1,1
Forcible Sodomy,237,144,92,1,
Sexual Assault with an Object,112,77,34,1,
Forcible Fondling,689,430,248,2,9
Robbery,1524,374,1144,1,5
Aggravated Assault,4838,2452,2353,5,28
Simple Assault,34562,18956,15305,30,271
Intimidation,1777,1042,721,2,12
Arson,361,254,103,4,
Extortion/Blackmail,51,29,22,,
Burglary/Breaking & Entering,3867,2399,1447,1,20
Pocket-picking,288,155,131,2,
Purse-snatching,27,11,16,,
Shoplifting,8858,4560,4187,8,103
Theft from Building,712,399,310,1,2
Theft from Coin-Operated Machine or Device,69,49,20,,
Theft from Motor Vehicle,587,411,174,2,
Theft of Motor Vehicle Parts or Accessories,124,78,44,2,
All Other Larceny,10030,5366,4565,7,92
Motor Vehicle Theft,1578,688,881,2,7
Counterfeiting/Forgery,2771,1715,1034,2,20
False Pretenses/Swindle/Confidence Game,2082,1184,870,28,
Credit Card/Automatic Teller Machine Fraud,396,243,148,2,3
Impersonation,250,116,132,2,
Welfare Fraud,85,56,29,,
Wire Fraud,13,7,6,,
Embezzlement,1399,750,628,2,19
Stolen Property Offenses,740,324,408,2,6
Destruction Damage/Vandalism of Property,4634,3006,1605,1,22
Drug/Narcotic Violations,24864,13380,11348,12,124
Drug Equipment Violations,188,127,60,1,
Incest,11,10,1,,
Statutory Rape,143,81,61,1,
Pornography/Obscene Material,31,23,8,,
Betting/Wagering,20,2,18,,
Operating/Promoting/Assisting Gambling,13,1,11,1,
Gambling Equipment Violations,13,3,9,1,
Sports Tampering,0,0,0,0,
Prostitution,451,207,241,1,2
Assisting or Promoting Prostitution,84,36,46,2,
Bribery,12,9,2,1,
Weapon Law Violations,3562,1894,1647,2,19
TOTAL,113365,61654,50808,87,816
