Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,,,,,,0
,F,,,,,,0
,U,,,,,,0
10--14,M,,2,,,,2
,F,,1,,,,1
,U,,,,,,0
15-19,M,27,63,,,,90
,F,5,4,,,,9
,U,,,,,1,1
20-24,M,20,70,,,1,91
,F,1,4,,,,5
,U,,,,,,0
25-29,M,9,29,,,,38
,F,1,4,,,,5
,U,,,,,,0
30-34,M,9,12,,,1,22
,F,2,2,,,,4
,U,,,,,1,1
35-39,M,7,12,,,,19
,F,3,3,,,,6
,U,,,,,,0
40-44,M,9,4,,,,13
,F,2,4,,,,6
,U,,,,,,0
45-49,M,7,7,,,,14
,F,1,,,,,1
,U,,,,,1,1
50-54,M,7,4,,,,11
,F,,,,,,0
,U,,,,,5,5
55-59,M,5,2,,,,7
,F,3,,,,,3
,U,,,,,,0
60-64,M,3,,,,,3
,F,1,,,,,1
,U,,,,,,0
65 & Over,M,1,1,,,,2
,F,,,,,,0
,U,,,,,,0
Unknown,M,,17,,,4,21
,F,,1,,,,1
,U,,,,,49,49
TOTAL,M,104,223,,,6,333
,F,19,23,,,,42
,U,,,,,57,57
