Age,Victim,,Offender,,
,Male,Female,Male,Female,Unknown
Under 10,3,71,4,,
10--12,3,125,18,1,
13--14,1,248,53,2,
15,1,112,34,,
16,3,101,56,,
17,,73,53,1,
18,,75,85,1,
19,,83,76,1,
20,,75,95,,
21,,62,76,,
22,,57,69,,2
23,,28,64,,
24,,30,40,,
25-29,1,125,223,1,
30-34,,124,181,3,2
35-39,,115,156,1,
40-44,2,67,124,1,
45-49,,31,50,2,
50-54,,17,50,1,7
55-59,,7,18,,
60-64,,5,14,,
65 & Over,,6,9,,
Unknown,1,22,174,,58
TOTAL,15,1659,1722,15,69
White,8,1058,830,7,2
Black,6,568,830,4,1
Am. Ind. or Alaskan Native,,2,2,,
Asian or Pacific Isl.,,13,11,,
Unknown,1,18,49,,70
TOTAL,15,1659,1722,11,73
