Offenses,Number of Arrests,Percent Distribution,"Rate per 100,000 Inhabitants"
Murder/Nonnegligent Manslaughter,284,0.25,3.95
Negligent Manslaughter,7,0.01,0.1
Kidnapping,551,0.49,7.67
Forcible Rape,470,0.42,6.54
Forcible Sodomy,237,0.21,3.3
Sexual Assault with an Object,112,0.1,1.56
Forcible Fondling of a Child,689,0.61,9.59
Robbery,1524,1.35,21.2
Aggravated Assault,4838,4.27,67.31
Simple Assault,34562,30.49,480.85
Intimidation,1777,1.57,24.72
Arson,361,0.32,5.02
Extortion/Blackmail,51,0.05,0.71
Burglary/Breaking & Entering,3867,3.41,53.8
Pocket-picking,288,0.26,4.01
Purse-snatching,27,0.02,0.38
Shoplifting,8858,7.81,123.24
Theft from Building,712,0.63,9.91
Theft from Coin-Operated Machine or Device,69,0.06,0.96
Theft from Motor Vehicle,587,0.52,8.17
Theft of Motor Vehicle Parts or Accessories,124,0.11,1.73
All Other Larceny,10030,8.85,139.54
Motor Vehicle Theft,1578,1.39,21.96
Counterfeiting/Forgery,2771,2.45,38.55
False Pretenses/Swindle/Confidence Game,2082,1.84,28.97
Credit Card/Automatic Teller Machine Fraud,396,0.35,5.51
Impersonation,250,0.22,3.48
Welfare Fraud,85,0.08,1.18
Wire Fraud,13,0.01,0.18
Embezzlement,1399,1.24,19.46
Stolen Property Offenses,740,0.65,10.3
Destruction Damage/Vandalism of Property,4634,4.09,64.47
Drug/Narcotic Violations,24864,21.93,327.48
Drug Equipment Violations,188,0.17,2.61
Incest,11,0.01,0.15
Statutory Rape,143,0.13,1.99
Pornography/Obscene Material,31,0.03,0.43
Betting/Wagering,20,0.02,0.28
Operating/Promoting/Assisting Gambling,13,0.01,0.18
Gambling Equipment Violations,13,0.01,0.18
Sports Tampering,0,0,0
Prostitution,451,0.4,6.28
Assisting or Promoting Prostitution,84,0.08,1.17
Bribery,12,0.01,0.17
Weapon Law Violations,3562,3.14,49.56
TOTAL,113365,10000,157721
