Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Counties,,,,
ACCOMACK COUNTY,,,,
Sheriff's Office ,58,44,14,4
Chincoteague PD ,9,9,0,4
Onancock PD ,4,4,0,0
Parksley PD ,3,3,0,0
Onley PD ,,,,
ALBEMARLE COUNTY  ,,,,
Albemarle PD ,101,93,8,21
ALLEGHANY COUNTY ,,,,
Sheriff's Office ,42,36,6,11
AMELIA COUNTY ,,,,
Sheriff's Office ,11,11,0,7
AMHERST COUNTY ,,,,
Sheriff's Office ,58,45,13,5
Amherst PD ,5,5,0,0
APPOMATTOX COUNTY ,,,,
Sheriff's Office ,30,24,6,3
ARLINGTON COUNTY ,,,,
Arlington PD ,385,326,59,82
AUGUSTA COUNY ,,,,
Sheriff's Office ,101,88,13,18
BATH COUNTY ,,,,
Sheriff's Office ,17,14,3,0
BEDFORD COUNTY ,,,,
Sheriff's Office ,67,56,11,0
BLAND COUNTY ,,,,
Sheriff's Office ,8,8,0,8
BOTETOURT COUNTY ,,,,
Sheriff's Office ,62,56,6,16
BRUNSWICK COUNTY ,,,,
Sheriff's Office ,18,15,3,23
Lawrenceville PD ,5,5,0,0
BUCHANAN COUNTY ,,,,
Sheriff's Office ,43,40,3,5
Grundy PD ,6,6,0,1
BUCKINGHAM COUNTY ,,,,
Sheriff's Office ,15,14,1,5
CAMPBELL COUNTY ,,,,
Sheriff's Office ,53,49,4,3
Altavista PD ,11,11,0,0
Brookneal PD ,4,4,0,0
CAROLINE COUNTY ,,,,
Sheriff's Office ,32,32,0,8
Bowling Green PD ,1,1,0,0
CARROLL COUNTY ,,,,
Sheriff's Office ,26,25,1,6
Hillsville PD ,10,10,0,1
CHARLES CITY COUNTY,,,,
Sheriff's Office ,9,8,1,6
CHARLOTTE COUNTY,,,,
Sheriff's Office ,27,21,6,2
CHESTERFIELD COUNTY,18,10,8,0
Chesterfield PD,9,7,2,0
CLARKE COUNTY,,,,
Sheriff's Office ,14,14,0,9
Berryville PD ,8,7,1,1
CRAIG COUNTY,,,,
Sheriff's Office ,8,8,0,5
CULPEPER COUNTY,,,,
Sheriff's Office ,69,51,18,17
Culpeper PD ,30,27,3,6
CUMBERLAND COUNTY,,,,
Sheriff's Office ,11,9,2,5
DICKENSON COUNTY,,,,
Sheriff's Office ,37,27,10,3
Clintwood PD ,3,3,0,0
Haysi PD,2,2,0,0
Clinchco,1,1,0,0
DINWIDDIE COUNTY,,,,
