Offenses,Persons Arrested,,Percent Crime Distribution by Gender,
,Male,Female,Male,Female
Murder/Nonnegligent Manslaughter,254,30,30,11
Negligent Manslaughter,7,0,1,0
Kidnapping,504,47,59,17
Forcible Rape,466,4,54,2
Forcible Sodomy,222,15,26,6
Sexual Assault with an Object,109,3,13,1
Forcible Fondling,670,19,78,7
Robbery,1426,98,166,36
Aggravated Assault,3646,1192,424,437
Simple Assault,25480,9082,2961,3327
Intimidation,1333,444,155,163
Arson,296,65,34,24
Extortion/Blackmail,34,17,4,6
Burglary/Breaking & Entering,3433,434,399,159
Pocket-picking,181,107,21,39
Purse-snatching,21,6,3,2
Shoplifting,4914,3944,571,1445
Theft from Building,538,174,63,64
Theft from Coin-Operated Machine or Device,62,7,7,3
Theft from Motor Vehicle,548,39,64,14
Theft of Motor Vehicle Parts or Accessories,117,7,14,3
All Other Larceny,6942,3088,807,1131
Motor Vehicle Theft,1342,236,156,87
Counterfeiting/Forgery,1589,1182,185,433
False Pretenses/Swindle/Confidence Game,1415,667,165,244
Credit Card/Automatic Teller Machine Fraud,219,177,26,65
Impersonation,196,54,23,20
Welfare Fraud,17,68,2,25
Wire Fraud,12,1,1,
Embezzlement,675,724,79,265
Stolen Property Offenses,641,99,75,36
DestructionDamage/Vandalism of Property,3829,805,445,295
Drug/Narcotic Violations,21028,3836,2443,1405
Drug Equipment Violations,141,47,16,17
Incest,10,1,1,
Statutory Rape,138,5,16,2
Pornography/Obscene Material,29,2,3,1
Betting/Wagering,19,1,2,
Operating/Promoting/Assisting Gambling,12,1,1,
Gambling Equipment Violations,13,2,,
Sports Tampering,0,0,0,0
Prostitution,159,292,19,107
Assisting or Promoting Prostitution,75,9,9,3
Bribery,11,1,1,
Weapon Law Violations,3296,266,383,98
Total,86069,27298,10005,10000
