Drug Type,Under 10,10--12,13--14,15,16,17,18,19,20,21,22,23,24,25 29,30 34,35 39,40 44,45 49,50 54,55 59,60 64,65 & Over,Total
“Crack” Cocaine ,0,1,15,34,39,68,174,216,243,202,208,176,142,480,528,529,483,238,104,29,17,13,3939
Cocaine ,0,0,4,5,8,21,58,76,107,89,97,68,67,264,250,262,233,111,51,11,6,5,1793
Hashish ,0,0,0,0,0,0,1,1,2,1,0,1,1,2,3,1,4,3,1,0,0,0,21
Heroin ,0,0,0,0,2,7,16,17,18,33,18,30,25,109,94,98,81,69,27,15,2,2,663
Marijuana ,3,24,278,315,603,831,1600,1499,1279,1021,763,635,538,1642,1035,964,676,364,122,41,11,4,14248
Morphine ,0,0,0,0,1,1,2,1,1,1,1,0,4,14,8,3,5,7,4,1,0,0,54
Opium ,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,3,1,0,0,0,9
Other Narcotic ,0,0,6,8,15,6,14,33,21,23,30,29,13,109,86,106,452,143,24,12,2,1,1133
LSD ,0,0,0,0,2,2,6,6,9,1,4,0,1,4,1,1,1,0,0,0,0,0,38
PCP ,0,0,0,0,2,0,1,2,1,1,0,1,1,0,1,4,0,1,0,0,0,0,15
Other Halucinogens ,0,0,0,0,0,3,3,6,4,1,1,0,1,4,1,1,2,0,0,0,0,0,27
Amphetamines/ Methamphetamines ,0,0,1,0,1,7,8,10,11,21,8,10,4,30,29,21,17,9,5,2,0,0,194
Other Stimulants ,0,0,1,0,1,2,3,4,5,2,6,3,4,7,5,3,3,1,3,0,0,0,53
Barbituates ,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,3,0,1,0,0,0,0,10
Other Depressants ,0,0,3,1,0,1,2,0,3,2,1,0,2,10,6,7,4,1,8,1,0,0,52
Other Drugs ,0,3,14,7,8,13,6,19,18,19,13,7,5,30,21,23,29,10,1,2,4,0,252
Unknown Drug Type ,0,2,37,46,91,80,180,162,149,136,142,126,84,307,221,255,177,91,49,18,4,6,2363
TOTAL ,3,30,359,416,773,1042,2075,2054,1873,1553,1292,1086,892,3012,2295,2281,2167,1052,400,132,46,31,24864
Does not include the 154 drug equipment violation arrests ,,,,,,,,,,,,,,,,,,,,,,,
