,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Murder/Nonnegligent Manslaughter,30,28,29,10,19,11,11,37,20,23,15,12,8,8,1,1,263
Negligent Manslaughter,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5
Kidnaping/Abduction,37,37,31,25,27,15,24,102,77,66,47,19,11,2,1,3,524
Forcible Rape,31,22,24,16,14,18,11,52,60,60,57,12,11,5,6,7,406
Forcible Sodomy,6,13,8,3,7,1,3,26,18,24,18,12,9,2,3,1,154
Sexual Assault with an Object,3,1,2,2,2,0,4,15,19,17,15,5,4,4,3,0,96
Forcible Fondling,26,19,29,14,9,12,11,52,73,84,71,63,27,20,14,17,541
Robbery,152,142,116,99,72,69,62,167,123,138,57,25,6,2,0,2,1232
Aggravated Assault,272,257,215,267,191,197,133,618,604,553,450,236,152,55,35,44,4279
Simple Assault,1063,1151,1193,1288,1263,1105,1068,4817,4617,4822,3584,2053,997,509,228,266,30024
Intimidation,72,60,55,69,49,47,42,200,215,211,196,114,44,31,16,11,1432
Arson,15,17,9,10,7,6,4,17,13,23,21,7,7,1,2,0,159
Extortion/Blackmail,2,1,2,1,0,2,0,4,4,6,1,3,1,0,0,1,28
Burglary/B & E,369,306,237,190,152,122,85,385,272,310,165,90,44,17,7,3,2754
Pocket Picking,20,23,13,16,12,5,2,36,34,29,17,9,9,4,0,1,230
Purse Snatching,0,1,1,1,2,2,1,2,3,1,4,2,1,0,0,0,21
Shoplifting,639,526,391,321,244,226,189,843,856,858,746,457,238,104,65,77,6780
Theft from Building,53,26,28,31,27,20,18,78,64,76,57,29,14,3,3,4,531
Theft from Coin-Operated Machine or Device,4,9,4,13,1,5,0,6,10,7,4,1,1,0,0,0,65
Theft from Motor Vehicle,71,47,32,35,29,13,8,24,44,35,16,17,5,2,0,1,379
Theft of Motor Vehicle Parts,16,18,12,4,8,3,4,6,8,5,5,1,1,1,0,0,92
All Other Larceny,804,638,487,439,360,310,254,1023,1107,986,738,415,207,76,40,49,7933
Motor Vehicle Theft,122,121,73,63,45,31,29,144,161,126,78,50,14,7,2,0,1066
Counterfeiting/Forgery,141,173,179,134,145,127,109,497,434,362,203,90,38,9,4,6,2651
