Offenses,Persons Arrested,,Percent Crime Distribution by Gender,
,Male,Female,Male,Female
Murder/Nonnegligent Manslaughter  ,230,30,0.23,0.07
Negligent Manslaughter,13,2,0.01,0
Kidnaping/Abduction,1000,77,1,0.19
Forcible Rape  ,312,4,0.31,0.01
Forcible Sodomy,171,5,0.17,0.01
Sexual Assault with an Object,118,3,0.12,0.01
Forcible Fondling  ,639,25,0.64,0.06
Robbery,1508,175,1.51,0.42
Aggravated Assault  ,3450,1012,3.45,2.44
Simple Assault,25473,12217,25.46,29.49
Intimidation,1013,301,1.01,0.73
Arson,265,41,0.26,0.1
Extortion/Blackmail,33,15,0.03,0.04
Burglary/Breaking & Entering,3912,518,3.91,1.25
Pocket Picking  ,225,99,0.22,0.24
Purse Snatching  ,10,10,0.01,0.02
Shoplifting,6598,8487,6.6,20.49
Theft from Building,634,325,0.63,0.78
Theft from Coin-Operated Machine or Device,24,1,0.02,0
Theft from Motor Vehicle,421,46,0.42,0.11
Theft of Motor Vehicle Parts or Accessories,97,15,0.1,0.04
All Other Larceny  ,9166,5245,9.16,12.66
Motor Vehicle Theft  ,681,141,0.68,0.34
Counterfeiting/Forgery  ,1423,798,1.42,1.93
False Pretenses/Swindle/Confidence Game  ,1880,1100,1.88,2.66
Credit Card/Automatic Teller Machine Fraud,234,191,0.23,0.46
Impersonation,721,235,0.72,0.57
Welfare Fraud,14,74,0.01,0.18
Wire Fraud  ,2,1,0,0
Embezzlement,789,727,0.79,1.76
Stolen Property Offenses  ,796,146,0.8,0.35
Destruction/Damage/Vandalism of Property  ,3430,1001,3.43,2.42
Drug/Narcotic Violations  ,30463,7457,30.45,18
Drug Equipment Violations,302,127,0.3,0.31
Incest  ,4,1,0,0
Statutory Rape,102,3,0.1,0.01
Pornography/Obscene Material,190,13,0.19,0.03
Betting/Wagering,21,5,0.02,0.01
Operating/Promoting/Assisting Gambling,11,3,0.01,0.01
Gambling Equipment Violations  ,5,0,0,0
Sports Tampering  ,0,0,0,0
Prostitution  ,188,351,0.19,0.85
Assisting or Promoting Prostitution  ,184,102,0.18,0.25
Bribery,10,0,0.01,0
Weapon Law Violations  ,3270,292,3.27,0.7
TOTAL,100032,41421,100,100
