Group A Offense* ,Number 2012,2012,2011,2010,2009,2008,2007,2006
Murder/Nonnegligent Manslaughter* ,316,3.86,3.77,4.61,4.43,4.75,5.33,5.21
Kidnaping/Abduction* ,"1,487",18.17,18.22,20.18,23.44,27.33,29.28,28.31
Forcible Sex Offenses* ,"5,093",62.22,63.04,62.25,60.63,67.69,68.94,71.64
Robbery ,"4,729",57.77,67.32,70.99,80.19,96.36,100.37,101.55
Aggravated Assault* ,"9,148",111.75,109.19,120.32,125.8,134.33,144.25,152.61
Simple Assault/Intimidation* ,"96,976",1184.68,1229.47,1271.09,1247.5,1270.37,1278.19,1243.86
Arson ,"1,249",15.26,14.41,15.42,16.63,18.86,21.54,22.73
Extortion/Blackmail ,124,1.51,1.4,1.9,1.48,1.8,1.4,1.37
Burglary ,"28,759",351.33,375.94,378.61,396.33,408.66,408.85,412.53
Larceny ,"140,786",1719.87,1784.59,1849.06,1920.66,1976.38,1921.63,1908.36
Motor Vehicle Theft ,"8,846",108.06,118.77,129.91,145.27,169.4,182.66,193.19
Counterfeiting/Forgery ,"6,794",83,87.37,89.25,94.78,93.27,96.9,111.15
Fraud ,"27,998",342.03,321.62,307,310.95,314.58,303.7,273.29
Embezzlement ,"2,650",32.37,35.05,33.75,36.87,46.9,50.31,46.06
Stolen Property ,"1,342",16.39,17.96,19.41,22.39,23.59,23.29,21.85
Damage/Vandalism ,"70,087",856.2,912.64,971.05,1055.03,1189.99,1223.79,1264.16
Drug/Narcotic Offenses ,"55,410",676.9,625.57,591.35,570.27,593.67,619.66,587.93
Nonforcible Sex Offenses* ,196,2.39,2.61,2.55,2.71,2.96,2.83,3.34
Pornography ,714,8.72,8.44,7.75,7.03,5.95,4.75,3.9
Gambling ,64,0.78,1.93,1.04,1.46,0.76,0.92,2.11
Prostitution ,993,12.13,11.73,12.36,14.51,9.22,10.7,13.48
Bribery ,26,0.32,0.31,0.4,0.29,0.37,0.22,0.29
Weapon Law Violations ,"9,049",110.54,111.92,112.72,117.31,133.01,137.03,141.53
* Crime counts are number of victims for offenses against a person and number of offenses for all other offenses.,,,,,,,,
