Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10 ,M ,,,,,,
,F ,,,,,,
10--14,M ,,1,,,,1
,F ,,,,,,
15-19 ,M ,6,38,,,1,45
,F ,,3,,,,3
20-24 ,M ,13,66,,1,1,81
,F ,4,13,,,,17
25-29 ,M ,8,30,,,,38
,F ,,2,,,,2
30-34 ,M ,11,17,,,,28
,F ,2,2,,,,4
35-39 ,M ,8,23,,,,31
,F ,1,1,,,,2
40-44 ,M ,9,8,,,1,18
,F ,1,3,,,,4
45-49 ,M ,9,8,,,1,18
,F ,3,2,,,,5
50-54 ,M ,5,3,,,,8
,F ,,,,,,
55-59 ,M ,3,2,,,,5
,F ,,,,,,
60-64 ,M ,3,,,,,3
,F ,,,,,,
65 & Over ,M ,2,1,,,,3
,F ,,1,,,,1
Unknown ,M ,5,12,,,8,25
,F ,,,,,1,1
,U ,,,,,32,32
,M ,82,209,,1,12,304
TOTAL ,F ,11,27,,,1,39
,Unknown ,,,,,32,32
