Location,Murder/Nonnegligent Manslaughter,Aggravated Assault,Forcible Rape,Forcible Sodomy,Sexual Assault with an Object,Forcible Fondling,Robbery
Air/Bus/Train Terminal ,0,10,2,1,1,10,7
Bank/Savings & Loan,0,4,0,0,0,0,149
Bar/Night Club ,2,220,7,1,3,12,24
Church/Synagogue/Temple ,1,8,1,3,1,13,9
Commercial/Office Building ,1,35,4,1,3,21,46
Construction Site,0,4,0,0,0,0,2
Convenience Store,6,94,3,3,1,8,340
Department/Discount Store ,1,35,0,1,2,11,98
Drug Store/Dr Office/Hospital ,1,50,7,5,3,30,62
Field/Woods,9,118,67,17,2,35,109
Government/Public Building ,2,39,6,2,2,20,15
Grocery/Supermarket,0,16,1,1,0,10,44
Highway/Road/Alley ,65,1697,50,20,17,130,1442
Hotel/Motel/Etc.,2,96,83,15,5,45,129
Jail/Penitentiary,0,55,2,11,3,15,2
Lake/Waterway,0,9,5,2,0,6,0
Liquor Store,0,0,0,0,0,1,0
Parking Lot/Garage ,28,627,39,10,8,52,638
Rental/Storage Facility,0,4,4,0,0,1,1
Residence/Home ,154,4148,1024,373,239,1616,1006
Restaurant,1,94,5,4,0,29,196
School/College ,1,163,34,13,11,200,41
Service/Gas Station,1,36,0,2,1,4,84
Specialty Store,1,17,2,2,4,10,90
Other/Unknown ,16,293,86,39,29,199,195
TOTAL,292,7872,1432,526,335,2478,4729
