Offenses,Under 10,10--12,13--14,15,16,17,Total
Murder/Nonnegligent Manslaughter ,0,0,0,2,1,4,7
Negligent Manslaughter ,0,0,0,0,0,0,0
Kidnaping/Abduction ,0,0,14,6,10,16,46
Forcible Rape ,0,2,9,4,8,7,30
Forcible Sodomy ,2,8,17,7,5,10,49
Sexual Assault with an Object ,0,5,4,2,5,3,19
Forcible Fondling ,1,19,40,13,16,8,97
Robbery ,0,5,43,56,63,95,262
Aggravated Assault ,2,24,63,59,92,73,313
Simple Assault ,35,494,1178,733,817,801,4058
Intimidation ,2,12,54,31,24,26,149
Arson ,6,36,31,25,23,17,138
Extortion/Blackmail ,0,3,8,0,1,0,12
Burglary/Breaking & Entering ,3,46,139,142,222,236,788
Pocket Picking ,0,4,5,11,9,7,36
Purse Snatching ,0,0,0,0,0,2,2
Shoplifting ,1,101,366,368,491,550,1877
Theft from Building ,0,18,38,33,34,45,168
Theft from Coin-Operated Device ,0,0,1,1,0,0,2
Theft from Motor Vehicle ,1,1,14,14,14,32,76
Theft of Motor Vehicle Parts ,0,0,0,3,1,2,6
All Other Larceny ,18,133,395,313,454,498,1811
Motor Vehicle Theft ,2,2,34,33,43,34,148
Counterfeiting/Forgery ,0,0,3,3,11,24,41
False Pretenses/Swindle/Confidence Game ,0,2,14,8,17,30,71
Credit Card/Teller Machine Fraud ,0,0,2,4,5,10,21
Impersonation ,0,0,6,12,10,12,40
Welfare Fraud ,0,0,0,0,0,0,0
Wire Fraud,0,0,0,0,0,0,0
